Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:11 EST
"Nutrient data for: 01293, Yogurt, Greek, plain, whole milk"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,81.30,
"Energy",kcal,97,
"Protein",g,9.00,
"Total lipid (fat)",g,5.00,
"Carbohydrate, by difference",g,3.98,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,4.00,
Minerals
"Calcium, Ca",mg,100,
"Iron, Fe",mg,0.00,
"Magnesium, Mg",mg,11,
"Phosphorus, P",mg,135,
"Potassium, K",mg,141,
"Sodium, Na",mg,35,
"Zinc, Zn",mg,0.52,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.023,
"Riboflavin",mg,0.278,
"Niacin",mg,0.208,
"Vitamin B-6",mg,0.063,
"Folate, DFE",µg,5,
"Vitamin B-12",µg,0.75,
"Vitamin A, RAE",µg,2,
"Vitamin A, IU",IU,15,
"Vitamin E (alpha-tocopherol)",mg,0.01,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,2.395,
"Fatty acids, total monounsaturated",g,2.136,
"Fatty acids, total polyunsaturated",g,0.469,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,13,
Amino Acids
Other
"Caffeine",mg,0,
