Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:11 EST
"Nutrient data for: 01297, Yogurt, Greek, vanilla, lowfat"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,78.76,
"Energy",kcal,95,
"Protein",g,8.64,
"Total lipid (fat)",g,2.50,
"Carbohydrate, by difference",g,9.54,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,9.54,
Minerals
"Calcium, Ca",mg,100,
"Iron, Fe",mg,0.04,
"Magnesium, Mg",mg,10,
"Phosphorus, P",mg,119,
"Potassium, K",mg,123,
"Sodium, Na",mg,40,
"Zinc, Zn",mg,0.46,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.038,
"Riboflavin",mg,0.240,
"Niacin",mg,0.201,
"Vitamin B-6",mg,0.050,
"Folate, DFE",µg,9,
"Vitamin B-12",µg,0.64,
"Vitamin A, RAE",µg,110,
"Vitamin A, IU",IU,371,
"Vitamin E (alpha-tocopherol)",mg,0.02,
"Vitamin D (D2 + D3)",µg,0.9,
"Vitamin D",IU,35,
"Vitamin K (phylloquinone)",µg,0.2,
Lipids
"Fatty acids, total saturated",g,1.465,
"Fatty acids, total monounsaturated",g,0.846,
"Fatty acids, total polyunsaturated",g,0.203,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,5,
Amino Acids
Other
"Caffeine",mg,0,
