Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:09 EST
"Nutrient data for: 01290, Kefir, lowfat, strawberry, LIFEWAY"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,84.82,
"Energy",kcal,62,
"Protein",g,3.39,
"Total lipid (fat)",g,0.90,
"Carbohydrate, by difference",g,10.20,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,9.21,
Minerals
"Calcium, Ca",mg,119,
"Iron, Fe",mg,0.04,
"Magnesium, Mg",mg,11,
"Phosphorus, P",mg,96,
"Potassium, K",mg,154,
"Sodium, Na",mg,37,
"Zinc, Zn",mg,0.44,
Vitamins
"Vitamin C, total ascorbic acid",mg,1.5,
"Thiamin",mg,0.030,
"Riboflavin",mg,0.210,
"Niacin",mg,0.105,
"Vitamin B-6",mg,0.060,
"Folate, DFE",µg,22,
"Vitamin B-12",µg,0.31,
"Vitamin A, RAE",µg,178,
"Vitamin A, IU",IU,599,
"Vitamin E (alpha-tocopherol)",mg,0.06,
"Vitamin D (D2 + D3)",µg,1.1,
"Vitamin D",IU,44,
"Vitamin K (phylloquinone)",µg,1.2,
Lipids
"Fatty acids, total saturated",g,0.533,
"Fatty acids, total monounsaturated",g,0.262,
"Fatty acids, total polyunsaturated",g,0.041,
"Fatty acids, total trans",g,0.030,
"Cholesterol",mg,5,
Amino Acids
Other
"Caffeine",mg,0,
