Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:09 EST
"Nutrient data for: 01289, Kefir, lowfat, plain, LIFEWAY"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,90.07,
"Energy",kcal,41,
"Protein",g,3.79,
"Total lipid (fat)",g,0.93,
"Carbohydrate, by difference",g,4.48,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,4.61,
Minerals
"Calcium, Ca",mg,130,
"Iron, Fe",mg,0.04,
"Magnesium, Mg",mg,12,
"Phosphorus, P",mg,105,
"Potassium, K",mg,164,
"Sodium, Na",mg,40,
"Zinc, Zn",mg,0.46,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.2,
"Thiamin",mg,0.030,
"Riboflavin",mg,0.135,
"Niacin",mg,0.150,
"Vitamin B-6",mg,0.058,
"Folate, DFE",µg,13,
"Vitamin B-12",µg,0.29,
"Vitamin A, RAE",µg,171,
"Vitamin A, IU",IU,569,
"Vitamin E (alpha-tocopherol)",mg,0.02,
"Vitamin D (D2 + D3)",µg,1.0,
"Vitamin D",IU,41,
"Vitamin K (phylloquinone)",µg,0.1,
Lipids
"Fatty acids, total saturated",g,0.658,
"Fatty acids, total monounsaturated",g,0.310,
"Fatty acids, total polyunsaturated",g,0.053,
"Fatty acids, total trans",g,0.037,
"Cholesterol",mg,5,
Amino Acids
Other
"Caffeine",mg,0,
