Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 02:59 EST
"Nutrient data for: 06119, Gravy, chicken, canned or bottled, ready-to-serve"
Nutrient,Unit,1Value per 100 g,"0.25 cup = 57.0g","1 cup = 228.0g","1 jar 10.5 oz = 273.0g","1 jar 12 oz = 324.0g",
Proximates
"Water",g,90.30,51.47,205.88,246.52,292.57
"Energy",kcal,48,27,109,131,156
"Protein",g,0.71,0.40,1.62,1.94,2.30
"Total lipid (fat)",g,2.62,1.49,5.97,7.15,8.49
"Carbohydrate, by difference",g,5.29,3.02,12.06,14.44,17.14
"Fiber, total dietary",g,0.1,0.1,0.2,0.3,0.3
"Sugars, total",g,0.30,0.17,0.68,0.82,0.97
Minerals
"Calcium, Ca",mg,10,6,23,27,32
"Iron, Fe",mg,0.09,0.05,0.21,0.25,0.29
"Magnesium, Mg",mg,3,2,7,8,10
"Phosphorus, P",mg,20,11,46,55,65
"Potassium, K",mg,42,24,96,115,136
"Sodium, Na",mg,389,222,887,1062,1260
"Zinc, Zn",mg,0.08,0.05,0.18,0.22,0.26
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0,0.0
"Thiamin",mg,0.024,0.014,0.055,0.066,0.078
"Riboflavin",mg,0.053,0.030,0.121,0.145,0.172
"Niacin",mg,0.285,0.162,0.650,0.778,0.923
"Vitamin B-6",mg,0.025,0.014,0.057,0.068,0.081
"Folate, DFE",µg,2,1,5,5,6
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,1,1,2,3,3
"Vitamin A, IU",IU,3,2,7,8,10
"Vitamin E (alpha-tocopherol)",mg,0.10,0.06,0.23,0.27,0.32
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.6,0.3,1.4,1.6,1.9
Lipids
"Fatty acids, total saturated",g,0.639,0.364,1.457,1.744,2.070
"Fatty acids, total monounsaturated",g,1.027,0.585,2.342,2.804,3.327
"Fatty acids, total polyunsaturated",g,0.407,0.232,0.928,1.111,1.319
"Fatty acids, total trans",g,0.011,0.006,0.025,0.030,0.036
"Cholesterol",mg,5,3,11,14,16
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0
