Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:07 EST
"Nutrient data for: 09426, Candied fruit"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,16.70,
"Energy",kcal,322,
"Protein",g,0.34,
"Total lipid (fat)",g,0.07,
"Carbohydrate, by difference",g,82.74,
"Fiber, total dietary",g,1.6,
"Sugars, total",g,80.68,
Minerals
"Calcium, Ca",mg,18,
"Iron, Fe",mg,0.17,
"Magnesium, Mg",mg,4,
"Phosphorus, P",mg,5,
"Potassium, K",mg,56,
"Sodium, Na",mg,98,
"Zinc, Zn",mg,0.05,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.000,
"Riboflavin",mg,0.000,
"Niacin",mg,0.000,
"Vitamin B-6",mg,0.000,
"Folate, DFE",µg,0,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,1,
"Vitamin A, IU",IU,19,
"Vitamin E (alpha-tocopherol)",mg,0.04,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,0.3,
Lipids
"Fatty acids, total saturated",g,0.010,
"Fatty acids, total monounsaturated",g,0.008,
"Fatty acids, total polyunsaturated",g,0.020,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
