Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35168, Fish, salmon, king, with skin, kippered, (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,61.52,
"Energy",kcal,209,
"Protein",g,23.19,
"Total lipid (fat)",g,12.95,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,55,
"Iron, Fe",mg,0.55,
"Magnesium, Mg",mg,29,
"Phosphorus, P",mg,270,
"Potassium, K",mg,390,
"Sodium, Na",mg,870,
"Zinc, Zn",mg,0.77,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.043,
"Riboflavin",mg,0.201,
"Niacin",mg,8.610,
"Vitamin B-6",mg,0.378,
"Folate, DFE",µg,3,
"Vitamin B-12",µg,3.65,
"Vitamin A, RAE",µg,12,
"Vitamin A, IU",IU,41,
"Vitamin E (alpha-tocopherol)",mg,0.42,
"Vitamin D (D2 + D3)",µg,1.2,
"Vitamin D",IU,46,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,2.440,
"Fatty acids, total monounsaturated",g,5.860,
"Fatty acids, total polyunsaturated",g,2.090,
"Cholesterol",mg,67,
Amino Acids
Other
"Caffeine",mg,0,
