Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35167, Fish, salmon, red, (sockeye), kippered (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,69.41,
"Energy",kcal,141,
"Protein",g,24.50,
"Total lipid (fat)",g,4.75,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,54,
"Iron, Fe",mg,0.49,
"Magnesium, Mg",mg,31,
"Phosphorus, P",mg,280,
"Potassium, K",mg,400,
"Sodium, Na",mg,460,
"Zinc, Zn",mg,0.75,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.094,
"Riboflavin",mg,0.230,
"Niacin",mg,8.520,
"Vitamin B-6",mg,0.287,
"Folate, DFE",µg,6,
"Vitamin B-12",µg,4.98,
"Vitamin A, RAE",µg,15,
"Vitamin A, IU",IU,50,
"Vitamin E (alpha-tocopherol)",mg,0.44,
"Vitamin D (D2 + D3)",µg,2.0,
"Vitamin D",IU,80,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,0.800,
"Fatty acids, total monounsaturated",g,1.830,
"Fatty acids, total polyunsaturated",g,1.130,
"Cholesterol",mg,68,
Amino Acids
Other
"Caffeine",mg,0,
