Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35178, Elk, free range, roast, eye of round, cooked (Shoshone Bannock)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,64.58,
"Energy",kcal,148,
"Protein",g,30.56,
"Total lipid (fat)",g,2.85,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,4,
"Iron, Fe",mg,2.68,
"Magnesium, Mg",mg,26,
"Phosphorus, P",mg,236,
"Potassium, K",mg,369,
"Sodium, Na",mg,50,
"Zinc, Zn",mg,4.80,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.164,
"Riboflavin",mg,0.358,
"Niacin",mg,7.960,
"Vitamin B-6",mg,0.914,
"Folate, DFE",µg,1,
"Vitamin B-12",µg,1.95,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
"Vitamin E (alpha-tocopherol)",mg,0.47,
Lipids
"Fatty acids, total saturated",g,1.125,
"Fatty acids, total monounsaturated",g,1.353,
"Fatty acids, total polyunsaturated",g,0.137,
"Fatty acids, total trans",g,0.040,
"Cholesterol",mg,63,
Amino Acids
Other
"Caffeine",mg,0,
