Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35176, Buffalo, free range, top round steak, cooked (Shoshone Bannock)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,64.28,
"Energy",kcal,146,
"Protein",g,32.51,
"Total lipid (fat)",g,1.80,
"Carbohydrate, by difference",g,0.00,
Minerals
"Calcium, Ca",mg,4,
"Iron, Fe",mg,3.76,
"Magnesium, Mg",mg,27,
"Phosphorus, P",mg,246,
"Potassium, K",mg,376,
"Sodium, Na",mg,41,
"Zinc, Zn",mg,5.06,
Vitamins
"Thiamin",mg,0.169,
"Riboflavin",mg,0.462,
"Niacin",mg,7.020,
"Vitamin B-6",mg,0.794,
"Folate, DFE",µg,8,
"Vitamin B-12",µg,1.67,
"Vitamin E (alpha-tocopherol)",mg,0.59,
Lipids
"Fatty acids, total saturated",g,0.595,
"Fatty acids, total monounsaturated",g,0.614,
"Fatty acids, total polyunsaturated",g,0.171,
"Fatty acids, total trans",g,0.088,
"Cholesterol",mg,82,
Amino Acids
Other
