Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:13 EST
"Nutrient data for: 09415, Pears, raw, green anjou"
Nutrient,Unit,1Value per 100 g,"1 cup, sliced = 140.0g","1 small = 172.0g","1 medium = 202.0g","1 large = 242.0g",
Proximates
"Water",g,83.31,116.63,143.29,168.29,201.61
"Energy",kcal,66,92,114,133,160
"Protein",g,0.44,0.62,0.76,0.89,1.06
"Total lipid (fat)",g,0.10,0.14,0.17,0.20,0.24
"Carbohydrate, by difference",g,15.79,22.11,27.16,31.90,38.21
"Fiber, total dietary",g,3.1,4.3,5.3,6.3,7.5
"Sugars, total",g,9.73,13.62,16.74,19.65,23.55
Minerals
"Calcium, Ca",mg,11,15,19,22,27
"Iron, Fe",mg,0.24,0.34,0.41,0.48,0.58
"Magnesium, Mg",mg,7,10,12,14,17
"Phosphorus, P",mg,13,18,22,26,31
"Potassium, K",mg,127,178,218,257,307
"Sodium, Na",mg,1,1,2,2,2
"Zinc, Zn",mg,0.10,0.14,0.17,0.20,0.24
Vitamins
"Vitamin C, total ascorbic acid",mg,4.4,6.2,7.6,8.9,10.6
"Thiamin",mg,0.010,0.014,0.017,0.020,0.024
"Riboflavin",mg,0.022,0.031,0.038,0.044,0.053
"Niacin",mg,0.151,0.211,0.260,0.305,0.365
"Vitamin B-6",mg,0.026,0.036,0.045,0.053,0.063
"Vitamin A, RAE",µg,1,1,2,2,2
"Vitamin A, IU",IU,25,35,43,50,60
"Vitamin E (alpha-tocopherol)",mg,0.12,0.17,0.21,0.24,0.29
"Vitamin K (phylloquinone)",µg,4.3,6.0,7.4,8.7,10.4
Lipids
"Fatty acids, total trans",g,0.000,0.000,0.000,0.000,0.000
Amino Acids
Other
