Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:08 EST
"Nutrient data for: 09086, Custard-apple, (bullock's-heart), raw"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,71.50,
"Energy",kcal,101,
"Protein",g,1.70,
"Total lipid (fat)",g,0.60,
"Carbohydrate, by difference",g,25.20,
"Fiber, total dietary",g,2.4,
Minerals
"Calcium, Ca",mg,30,
"Iron, Fe",mg,0.71,
"Magnesium, Mg",mg,18,
"Phosphorus, P",mg,21,
"Potassium, K",mg,382,
"Sodium, Na",mg,4,
Vitamins
"Vitamin C, total ascorbic acid",mg,19.2,
"Thiamin",mg,0.080,
"Riboflavin",mg,0.100,
"Niacin",mg,0.500,
"Vitamin B-6",mg,0.221,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,2,
"Vitamin A, IU",IU,33,
Lipids
"Fatty acids, total saturated",g,0.231,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,0,
Amino Acids
Other
