Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 03:10 EST
"Nutrient data for: 09147, Jujube, Chinese, fresh, dried"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,20.19,
"Energy",kcal,281,
"Protein",g,4.72,
"Total lipid (fat)",g,0.50,
"Carbohydrate, by difference",g,72.52,
"Fiber, total dietary",g,6.0,
Minerals
"Calcium, Ca",mg,63,
"Iron, Fe",mg,5.09,
"Phosphorus, P",mg,68,
"Potassium, K",mg,217,
"Sodium, Na",mg,5,
"Zinc, Zn",mg,0.39,
Vitamins
"Vitamin C, total ascorbic acid",mg,217.6,
"Thiamin",mg,0.047,
"Riboflavin",mg,0.053,
"Vitamin B-12",µg,0.00,
Lipids
"Cholesterol",mg,0,
Amino Acids
Other
