Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 13:53 EST
"Nutrient data for: 17450, Lamb, Australian, imported, fresh, external fat, raw"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,38.41,
"Energy",kcal,487,
"Protein",g,12.59,
"Total lipid (fat)",g,48.50,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,10,
"Iron, Fe",mg,1.08,
"Magnesium, Mg",mg,9,
"Phosphorus, P",mg,92,
"Potassium, K",mg,149,
"Sodium, Na",mg,69,
"Zinc, Zn",mg,1.41,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.053,
"Riboflavin",mg,0.140,
"Niacin",mg,3.160,
"Vitamin B-6",mg,0.207,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
Lipids
"Fatty acids, total saturated",g,23.892,
"Fatty acids, total monounsaturated",g,19.541,
"Fatty acids, total polyunsaturated",g,2.797,
"Fatty acids, total trans",g,3.564,
"Cholesterol",mg,71,
Amino Acids
Other
"Caffeine",mg,0,
