Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:04 EST
"Nutrient data for: 17362, Lamb, New Zealand, imported, subcutaneous fat, cooked"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,21.77,
"Energy",kcal,674,
"Protein",g,5.24,
"Total lipid (fat)",g,72.28,
"Carbohydrate, by difference",g,0.62,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,6,
"Iron, Fe",mg,0.70,
"Magnesium, Mg",mg,9,
"Phosphorus, P",mg,84,
"Potassium, K",mg,164,
"Sodium, Na",mg,43,
"Zinc, Zn",mg,1.03,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.094,
"Riboflavin",mg,0.058,
"Niacin",mg,1.530,
"Vitamin B-6",mg,0.061,
"Vitamin B-12",µg,0.70,
"Vitamin A, RAE",µg,60,
"Vitamin A, IU",IU,201,
"Vitamin E (alpha-tocopherol)",mg,1.02,
"Vitamin D (D2 + D3)",µg,0.1,
"Vitamin D",IU,4,
Lipids
"Fatty acids, total saturated",g,31.441,
"Fatty acids, total monounsaturated",g,19.735,
"Fatty acids, total polyunsaturated",g,2.314,
"Fatty acids, total trans",g,4.419,
"Cholesterol",mg,66,
Amino Acids
Other
"Caffeine",mg,0,
