Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:31 EST
"Nutrient data for: 18053, Bread, reduced-calorie, rye"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 slice = 23.0g","1 slice, thick = 32.0g","1 slice, thin = 20.0g",
Proximates
"Water",g,46.00,13.04,10.58,14.72,9.20
"Energy",kcal,203,58,47,65,41
"Protein",g,9.10,2.58,2.09,2.91,1.82
"Total lipid (fat)",g,2.90,0.82,0.67,0.93,0.58
"Carbohydrate, by difference",g,40.50,11.48,9.31,12.96,8.10
"Fiber, total dietary",g,12.0,3.4,2.8,3.8,2.4
"Sugars, total",g,2.29,0.65,0.53,0.73,0.46
Minerals
"Calcium, Ca",mg,76,22,17,24,15
"Iron, Fe",mg,3.10,0.88,0.71,0.99,0.62
"Magnesium, Mg",mg,22,6,5,7,4
"Phosphorus, P",mg,78,22,18,25,16
"Potassium, K",mg,98,28,23,31,20
"Sodium, Na",mg,513,145,118,164,103
"Zinc, Zn",mg,0.66,0.19,0.15,0.21,0.13
Vitamins
"Vitamin C, total ascorbic acid",mg,0.4,0.1,0.1,0.1,0.1
"Thiamin",mg,0.367,0.104,0.084,0.117,0.073
"Riboflavin",mg,0.240,0.068,0.055,0.077,0.048
"Niacin",mg,2.527,0.716,0.581,0.809,0.505
"Vitamin B-6",mg,0.077,0.022,0.018,0.025,0.015
"Folate, DFE",µg,83,24,19,27,17
"Vitamin B-12",µg,0.04,0.01,0.01,0.01,0.01
"Vitamin A, RAE",µg,0,0,0,0,0
"Vitamin A, IU",IU,4,1,1,1,1
"Vitamin E (alpha-tocopherol)",mg,0.28,0.08,0.06,0.09,0.06
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.6,0.2,0.1,0.2,0.1
Lipids
"Fatty acids, total saturated",g,0.368,0.104,0.085,0.118,0.074
"Fatty acids, total monounsaturated",g,0.672,0.191,0.155,0.215,0.134
"Fatty acids, total polyunsaturated",g,0.752,0.213,0.173,0.241,0.150
"Cholesterol",mg,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0
