Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:35 EST
"Nutrient data for: 18434, Crackers, cheese, low sodium"
Nutrient,Unit,1Value per 100 g,"0.5 oz = 14.2g","1 cup Cheez-its = 62.0g","1 cup, crushed = 72.0g","1 gold fish = 0.6g","1 cracker (1"" square) = 1.0g",
Proximates
"Water",g,3.10,0.44,1.92,2.23,0.02,0.03
"Energy",kcal,503,71,312,362,3,5
"Protein",g,10.10,1.43,6.26,7.27,0.06,0.10
"Total lipid (fat)",g,25.30,3.59,15.69,18.22,0.15,0.25
"Carbohydrate, by difference",g,58.20,8.26,36.08,41.90,0.35,0.58
"Fiber, total dietary",g,2.4,0.3,1.5,1.7,0.0,0.0
"Sugars, total",g,0.28,0.04,0.17,0.20,0.00,0.00
Minerals
"Calcium, Ca",mg,151,21,94,109,1,2
"Iron, Fe",mg,4.77,0.68,2.96,3.43,0.03,0.05
"Magnesium, Mg",mg,36,5,22,26,0,0
"Phosphorus, P",mg,218,31,135,157,1,2
"Potassium, K",mg,106,15,66,76,1,1
"Sodium, Na",mg,458,65,284,330,3,5
"Zinc, Zn",mg,1.13,0.16,0.70,0.81,0.01,0.01
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0,0.0,0.0
"Thiamin",mg,0.570,0.081,0.353,0.410,0.003,0.006
"Riboflavin",mg,0.428,0.061,0.265,0.308,0.003,0.004
"Niacin",mg,4.671,0.663,2.896,3.363,0.028,0.047
"Vitamin B-6",mg,0.553,0.079,0.343,0.398,0.003,0.006
"Folate, DFE",µg,134,19,83,96,1,1
"Vitamin B-12",µg,0.46,0.07,0.29,0.33,0.00,0.00
"Vitamin A, RAE",µg,17,2,11,12,0,0
"Vitamin A, IU",IU,156,22,97,112,1,2
"Vitamin E (alpha-tocopherol)",mg,0.30,0.04,0.19,0.22,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,11.2,1.6,6.9,8.1,0.1,0.1
Lipids
"Fatty acids, total saturated",g,9.638,1.369,5.976,6.939,0.058,0.096
"Fatty acids, total monounsaturated",g,11.852,1.683,7.348,8.533,0.071,0.119
"Fatty acids, total polyunsaturated",g,2.457,0.349,1.523,1.769,0.015,0.025
"Cholesterol",mg,13,2,8,9,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0
