Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:49 EST
"Nutrient data for: 19000, SCHIFF,TIGER'S MILK BAR"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,10.28,
"Energy",kcal,422,
"Protein",g,16.80,
"Total lipid (fat)",g,14.29,
"Carbohydrate, by difference",g,56.46,
"Fiber, total dietary",g,2.3,
"Sugars, total",g,36.40,
Minerals
"Calcium, Ca",mg,429,
"Iron, Fe",mg,10.28,
"Magnesium, Mg",mg,336,
"Phosphorus, P",mg,560,
"Potassium, K",mg,294,
"Sodium, Na",mg,168,
"Zinc, Zn",mg,1.44,
Vitamins
"Vitamin C, total ascorbic acid",mg,16.8,
"Thiamin",mg,1.470,
"Riboflavin",mg,0.319,
"Niacin",mg,4.039,
"Vitamin B-6",mg,1.680,
"Folate, DFE",µg,55,
"Vitamin B-12",µg,4.20,
"Vitamin A, RAE",µg,1,
"Vitamin A, IU",IU,3,
"Vitamin E (alpha-tocopherol)",mg,2.48,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,4.6,
Lipids
"Fatty acids, total saturated",g,2.073,
"Fatty acids, total monounsaturated",g,7.907,
"Fatty acids, total polyunsaturated",g,3.678,
"Fatty acids, total trans",g,0.036,
"Cholesterol",mg,2,
Amino Acids
Other
"Caffeine",mg,0,
