Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:33 EST
"Nutrient data for: 19106, Candies, gumdrops, starch jelly pieces"
Nutrient,Unit,1Value per 100 g,"1 cup gumdrops = 182.0g","10.0 gumdrops = 36.0g","10.0 gummy bears = 22.0g","10.0 gummy dinosaurs = 63.0g","10.0 gummy fish = 50.0g","10.0 gummy worms = 74.0g","1 spice stick = 9.5g","1 spice drop = 24.0g","1 gumdrop, small (1/2"" dia) = 3.2g","1 gumdrop, medium (3/4"" dia) = 4.2g","1 gumdrop, large (1"" dia) = 11.6g","1 jelly ring (1-1/4"" dia) = 10.0g",
Proximates
"Water",g,1.00,1.82,0.36,0.22,0.63,0.50,0.74,0.10,0.24,0.03,0.04,0.12,0.10
"Energy",kcal,396,721,143,87,249,198,293,38,95,13,17,46,40
"Protein",g,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Total lipid (fat)",g,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Carbohydrate, by difference",g,98.90,180.00,35.60,21.76,62.31,49.45,73.19,9.40,23.74,3.16,4.15,11.47,9.89
"Fiber, total dietary",g,0.1,0.2,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0
"Sugars, total",g,58.97,107.33,21.23,12.97,37.15,29.48,43.64,5.60,14.15,1.89,2.48,6.84,5.90
Minerals
"Calcium, Ca",mg,3,5,1,1,2,2,2,0,1,0,0,0,0
"Iron, Fe",mg,0.40,0.73,0.14,0.09,0.25,0.20,0.30,0.04,0.10,0.01,0.02,0.05,0.04
"Magnesium, Mg",mg,1,2,0,0,1,0,1,0,0,0,0,0,0
"Phosphorus, P",mg,1,2,0,0,1,0,1,0,0,0,0,0,0
"Potassium, K",mg,5,9,2,1,3,2,4,0,1,0,0,1,0
"Sodium, Na",mg,44,80,16,10,28,22,33,4,11,1,2,5,4
"Zinc, Zn",mg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Thiamin",mg,0.006,0.011,0.002,0.001,0.004,0.003,0.004,0.001,0.001,0.000,0.000,0.001,0.001
"Riboflavin",mg,0.013,0.024,0.005,0.003,0.008,0.007,0.010,0.001,0.003,0.000,0.001,0.002,0.001
"Niacin",mg,0.010,0.018,0.004,0.002,0.006,0.005,0.007,0.001,0.002,0.000,0.000,0.001,0.001
"Vitamin B-6",mg,0.005,0.009,0.002,0.001,0.003,0.003,0.004,0.000,0.001,0.000,0.000,0.001,0.000
"Folate, DFE",µg,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lipids
"Fatty acids, total saturated",g,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total monounsaturated",g,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0,0,0,0,0,0,0
