Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:40 EST
"Nutrient data for: 19231, Flan, caramel custard, dry mix, prepared with 2% milk"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,75.71,
"Energy",kcal,103,
"Protein",g,2.99,
"Total lipid (fat)",g,1.72,
"Carbohydrate, by difference",g,18.82,
"Fiber, total dietary",g,0.0,
Minerals
"Calcium, Ca",mg,113,
"Iron, Fe",mg,0.06,
"Magnesium, Mg",mg,12,
"Phosphorus, P",mg,86,
"Potassium, K",mg,163,
"Sodium, Na",mg,113,
"Zinc, Zn",mg,0.36,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.7,
"Thiamin",mg,0.032,
"Riboflavin",mg,0.148,
"Niacin",mg,0.077,
"Vitamin B-6",mg,0.035,
"Folate, DFE",µg,4,
"Vitamin B-12",µg,0.26,
"Vitamin A, RAE",µg,52,
"Vitamin A, IU",IU,180,
"Vitamin D (D2 + D3)",µg,0.9,
"Vitamin D",IU,36,
Lipids
"Fatty acids, total saturated",g,1.035,
"Fatty acids, total monounsaturated",g,0.472,
"Fatty acids, total polyunsaturated",g,0.064,
"Cholesterol",mg,7,
Amino Acids
Other
"Caffeine",mg,0,
