Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 23:31 EST
"Nutrient data for: 18048, Bread, raisin, enriched, toasted"
Nutrient,Unit,1Value per 100 g,"1 oz = 28.35g","1 slice, large = 29.0g","1 slice = 24.0g","1 slice, thin = 21.0g",
Proximates
"Water",g,27.80,7.88,8.06,6.67,5.84
"Energy",kcal,297,84,86,71,62
"Protein",g,8.60,2.44,2.49,2.06,1.81
"Total lipid (fat)",g,4.80,1.36,1.39,1.15,1.01
"Carbohydrate, by difference",g,56.90,16.13,16.50,13.66,11.95
"Fiber, total dietary",g,4.7,1.3,1.4,1.1,1.0
"Sugars, total",g,6.18,1.75,1.79,1.48,1.30
Minerals
"Calcium, Ca",mg,72,20,21,17,15
"Iron, Fe",mg,3.15,0.89,0.91,0.76,0.66
"Magnesium, Mg",mg,28,8,8,7,6
"Phosphorus, P",mg,118,33,34,28,25
"Potassium, K",mg,246,70,71,59,52
"Sodium, Na",mg,377,107,109,90,79
"Zinc, Zn",mg,0.78,0.22,0.23,0.19,0.16
Vitamins
"Vitamin C, total ascorbic acid",mg,0.4,0.1,0.1,0.1,0.1
"Thiamin",mg,0.294,0.083,0.085,0.071,0.062
"Riboflavin",mg,0.390,0.111,0.113,0.094,0.082
"Niacin",mg,3.391,0.961,0.983,0.814,0.712
"Vitamin B-6",mg,0.068,0.019,0.020,0.016,0.014
"Folate, DFE",µg,148,42,43,36,31
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,0,0,0,0,0
"Vitamin A, IU",IU,0,0,0,0,0
"Vitamin E (alpha-tocopherol)",mg,0.31,0.09,0.09,0.07,0.07
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,1.9,0.5,0.6,0.5,0.4
Lipids
"Fatty acids, total saturated",g,1.175,0.333,0.341,0.282,0.247
"Fatty acids, total monounsaturated",g,2.494,0.707,0.723,0.599,0.524
"Fatty acids, total polyunsaturated",g,0.738,0.209,0.214,0.177,0.155
"Cholesterol",mg,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0
