Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:07 EST
"Nutrient data for: 01303, Cream, half and half, lowfat"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,87.83,
"Energy",kcal,72,
"Protein",g,3.33,
"Total lipid (fat)",g,5.00,
"Carbohydrate, by difference",g,3.33,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,3.33,
Minerals
"Calcium, Ca",mg,133,
"Iron, Fe",mg,0.00,
"Magnesium, Mg",mg,10,
"Phosphorus, P",mg,95,
"Potassium, K",mg,132,
"Sodium, Na",mg,50,
"Zinc, Zn",mg,0.39,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.030,
"Riboflavin",mg,0.194,
"Niacin",mg,0.109,
"Vitamin B-6",mg,0.050,
"Folate, DFE",µg,3,
"Vitamin B-12",µg,0.19,
"Vitamin A, RAE",µg,47,
"Vitamin A, IU",IU,170,
"Vitamin E (alpha-tocopherol)",mg,0.12,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,1,
"Vitamin K (phylloquinone)",µg,0.6,
Lipids
"Fatty acids, total saturated",g,3.276,
"Fatty acids, total monounsaturated",g,1.526,
"Fatty acids, total polyunsaturated",g,0.257,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,17,
Amino Acids
Other
"Caffeine",mg,0,
