Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:09 EST
"Nutrient data for: 01306, Ice cream, lowfat, no sugar added, cone, added peanuts and chocolate sauce"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,43.85,
"Energy",kcal,265,
"Protein",g,5.33,
"Total lipid (fat)",g,9.33,
"Carbohydrate, by difference",g,40.01,
"Fiber, total dietary",g,9.3,
"Sugars, total",g,10.67,
Minerals
"Calcium, Ca",mg,133,
"Iron, Fe",mg,0.48,
"Magnesium, Mg",mg,65,
"Phosphorus, P",mg,143,
"Potassium, K",mg,213,
"Sodium, Na",mg,113,
"Zinc, Zn",mg,1.06,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.182,
"Riboflavin",mg,0.200,
"Niacin",mg,3.528,
"Vitamin B-6",mg,0.093,
"Folate, DFE",µg,17,
"Vitamin B-12",µg,0.07,
"Vitamin A, RAE",µg,26,
"Vitamin A, IU",IU,89,
"Vitamin E (alpha-tocopherol)",mg,0.70,
"Vitamin D (D2 + D3)",µg,0.2,
"Vitamin D",IU,8,
"Vitamin K (phylloquinone)",µg,0.7,
Lipids
"Fatty acids, total saturated",g,6.598,
"Fatty acids, total monounsaturated",g,1.061,
"Fatty acids, total polyunsaturated",g,0.434,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,7,
Amino Acids
Other
"Caffeine",mg,3,
