Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:10 EST
"Nutrient data for: 01298, Yogurt, frozen, flavors other than chocolate, lowfat"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,68.08,
"Energy",kcal,139,
"Protein",g,8.00,
"Total lipid (fat)",g,2.50,
"Carbohydrate, by difference",g,21.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,21.00,
Minerals
"Calcium, Ca",mg,200,
"Iron, Fe",mg,0.00,
"Magnesium, Mg",mg,7,
"Phosphorus, P",mg,62,
"Potassium, K",mg,108,
"Sodium, Na",mg,45,
"Zinc, Zn",mg,0.19,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.028,
"Riboflavin",mg,0.125,
"Niacin",mg,0.049,
"Vitamin B-6",mg,0.028,
"Folate, DFE",µg,3,
"Vitamin B-12",µg,0.05,
"Vitamin A, RAE",µg,34,
"Vitamin A, IU",IU,122,
"Vitamin E (alpha-tocopherol)",mg,0.06,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,2,
"Vitamin K (phylloquinone)",µg,0.2,
Lipids
"Fatty acids, total saturated",g,1.509,
"Fatty acids, total monounsaturated",g,0.685,
"Fatty acids, total polyunsaturated",g,0.069,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,45,
Amino Acids
Other
"Caffeine",mg,0,
