Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:09 EST
"Nutrient data for: 01301, Ice cream sundae cone"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,53.31,
"Energy",kcal,254,
"Protein",g,3.00,
"Total lipid (fat)",g,14.00,
"Carbohydrate, by difference",g,28.89,
"Fiber, total dietary",g,1.0,
"Sugars, total",g,21.26,
Minerals
"Calcium, Ca",mg,60,
"Iron, Fe",mg,0.36,
"Magnesium, Mg",mg,20,
"Phosphorus, P",mg,128,
"Potassium, K",mg,204,
"Sodium, Na",mg,115,
"Zinc, Zn",mg,0.56,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.090,
"Riboflavin",mg,0.213,
"Niacin",mg,1.111,
"Vitamin B-6",mg,0.050,
"Folate, DFE",µg,29,
"Vitamin B-12",µg,0.35,
"Vitamin A, RAE",µg,117,
"Vitamin A, IU",IU,410,
"Vitamin E (alpha-tocopherol)",mg,0.11,
"Vitamin D (D2 + D3)",µg,0.1,
"Vitamin D",IU,4,
"Vitamin K (phylloquinone)",µg,0.5,
Lipids
"Fatty acids, total saturated",g,2.717,
"Fatty acids, total monounsaturated",g,1.775,
"Fatty acids, total polyunsaturated",g,0.747,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,15,
Amino Acids
Other
"Caffeine",mg,0,
