Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 03, 2017 17:32 EST
"Nutrient data for: 21424, KFC, Fried Chicken, ORIGINAL RECIPE, Skin and Breading"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,35.52,
"Energy",kcal,384,
"Protein",g,14.17,
"Total lipid (fat)",g,28.01,
"Carbohydrate, by difference",g,18.79,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,117,
"Iron, Fe",mg,0.88,
"Magnesium, Mg",mg,25,
"Phosphorus, P",mg,252,
"Potassium, K",mg,244,
"Sodium, Na",mg,1042,
"Zinc, Zn",mg,0.87,
Vitamins
"Thiamin",mg,0.080,
"Riboflavin",mg,0.197,
"Niacin",mg,5.420,
"Vitamin B-6",mg,0.140,
"Vitamin B-12",µg,0.32,
"Vitamin A, RAE",µg,20,
"Vitamin A, IU",IU,66,
"Vitamin E (alpha-tocopherol)",mg,1.20,
Lipids
"Fatty acids, total saturated",g,6.343,
"Fatty acids, total monounsaturated",g,14.448,
"Fatty acids, total polyunsaturated",g,5.375,
"Fatty acids, total trans",g,0.214,
"Cholesterol",mg,82,
Amino Acids
Other
