Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 03, 2017 17:31 EST
"Nutrient data for: 21468, Fast Foods, Fried Chicken, Skin and breading from all pieces"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,33.87,
"Energy",kcal,398,
"Protein",g,14.11,
"Total lipid (fat)",g,29.22,
"Carbohydrate, by difference",g,19.56,
"Fiber, total dietary",g,0.3,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,92,
"Iron, Fe",mg,1.12,
"Magnesium, Mg",mg,23,
"Phosphorus, P",mg,215,
"Potassium, K",mg,230,
"Sodium, Na",mg,965,
"Zinc, Zn",mg,0.81,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.104,
"Riboflavin",mg,0.221,
"Niacin",mg,5.401,
"Vitamin B-6",mg,0.131,
"Folate, DFE",µg,64,
"Vitamin B-12",µg,0.34,
"Vitamin A, RAE",µg,21,
"Vitamin A, IU",IU,71,
"Vitamin E (alpha-tocopherol)",mg,0.92,
"Vitamin D (D2 + D3)",µg,0.2,
"Vitamin D",IU,7,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,7.857,
"Fatty acids, total monounsaturated",g,14.364,
"Fatty acids, total polyunsaturated",g,4.736,
"Fatty acids, total trans",g,0.501,
"Cholesterol",mg,82,
Amino Acids
Other
"Caffeine",mg,0,
