Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:29 EST
"Nutrient data for: 35024, Stew/soup, caribou (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,90.00,
"Energy",kcal,41,
"Protein",g,3.80,
"Total lipid (fat)",g,0.70,
"Carbohydrate, by difference",g,4.80,
"Fiber, total dietary",g,0.1,
Minerals
"Calcium, Ca",mg,7,
"Iron, Fe",mg,0.20,
"Magnesium, Mg",mg,5,
"Phosphorus, P",mg,12,
"Potassium, K",mg,84,
"Sodium, Na",mg,72,
"Zinc, Zn",mg,0.10,
Vitamins
"Vitamin C, total ascorbic acid",mg,1.5,
"Thiamin",mg,0.020,
"Riboflavin",mg,0.010,
"Niacin",mg,0.270,
"Vitamin B-6",mg,0.060,
"Vitamin A, IU",IU,1607,
Lipids
"Fatty acids, total saturated",g,0.010,
"Fatty acids, total polyunsaturated",g,0.020,
Amino Acids
Other
