Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35151, Fish, salmon, sockeye (red), raw (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,69.64,
"Energy",kcal,153,
"Protein",g,21.94,
"Total lipid (fat)",g,7.28,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,7,
"Iron, Fe",mg,0.53,
"Magnesium, Mg",mg,27,
"Phosphorus, P",mg,240,
"Potassium, K",mg,360,
"Sodium, Na",mg,60,
"Zinc, Zn",mg,0.52,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.253,
"Riboflavin",mg,0.297,
"Niacin",mg,8.040,
"Vitamin B-6",mg,0.282,
"Folate, DFE",µg,11,
"Vitamin B-12",µg,7.82,
"Vitamin A, RAE",µg,58,
"Vitamin A, IU",IU,193,
"Vitamin E (alpha-tocopherol)",mg,1.25,
"Vitamin K (phylloquinone)",µg,0.3,
Lipids
"Fatty acids, total saturated",g,1.007,
"Fatty acids, total monounsaturated",g,2.200,
"Fatty acids, total polyunsaturated",g,1.370,
"Cholesterol",mg,64,
Amino Acids
Other
"Caffeine",mg,0,
