Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:28 EST
"Nutrient data for: 35157, Fish, salmon, red, canned, bones removed (Alaska Native)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,65.82,
"Energy",kcal,161,
"Protein",g,27.31,
"Total lipid (fat)",g,5.76,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,28,
"Iron, Fe",mg,1.90,
"Magnesium, Mg",mg,32,
"Phosphorus, P",mg,260,
"Potassium, K",mg,370,
"Sodium, Na",mg,390,
"Zinc, Zn",mg,0.66,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.015,
"Riboflavin",mg,0.206,
"Niacin",mg,10.100,
"Vitamin B-6",mg,0.103,
"Folate, DFE",µg,7,
"Vitamin B-12",µg,4.91,
"Vitamin A, RAE",µg,65,
"Vitamin A, IU",IU,216,
"Vitamin E (alpha-tocopherol)",mg,0.61,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,0.920,
"Fatty acids, total monounsaturated",g,2.290,
"Fatty acids, total polyunsaturated",g,1.610,
"Cholesterol",mg,69,
Amino Acids
Other
"Caffeine",mg,0,
