Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:27 EST
"Nutrient data for: 35182, Acorn stew (Apache)"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,79.78,
"Energy",kcal,95,
"Protein",g,6.81,
"Total lipid (fat)",g,3.47,
"Carbohydrate, by difference",g,9.22,
"Fiber, total dietary",g,0.7,
"Sugars, total",g,0.34,
Minerals
"Calcium, Ca",mg,14,
"Iron, Fe",mg,1.00,
"Magnesium, Mg",mg,12,
"Phosphorus, P",mg,62,
"Potassium, K",mg,110,
"Sodium, Na",mg,130,
"Zinc, Zn",mg,1.60,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.175,
"Riboflavin",mg,0.125,
"Niacin",mg,2.140,
"Vitamin B-6",mg,0.055,
"Folate, DFE",µg,44,
"Vitamin B-12",µg,0.68,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
"Vitamin E (alpha-tocopherol)",mg,0.30,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,1.280,
"Fatty acids, total monounsaturated",g,1.680,
"Fatty acids, total polyunsaturated",g,0.297,
"Cholesterol",mg,20,
Amino Acids
Other
Footnotes
(a)"Boiled stew made with water, beef or deer, prepared acorns, dumpling strips, salt, and pepper."
