Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:14 EST
"Nutrient data for: 20634, Wheat flour, white (industrial), 11.5% protein, bleached, enriched"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,12.68,
"Energy",kcal,363,
"Protein",g,11.50,
"Total lipid (fat)",g,1.45,
"Carbohydrate, by difference",g,73.81,
"Fiber, total dietary",g,2.4,
"Sugars, total",g,1.12,
Minerals
"Calcium, Ca",mg,20,
"Iron, Fe",mg,5.06,
"Magnesium, Mg",mg,30,
"Phosphorus, P",mg,112,
"Potassium, K",mg,138,
"Sodium, Na",mg,2,
"Zinc, Zn",mg,0.84,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.736,
"Riboflavin",mg,0.445,
"Niacin",mg,5.953,
"Vitamin B-6",mg,0.032,
"Folate, DFE",µg,268,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
"Vitamin E (alpha-tocopherol)",mg,0.05,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,0.3,
Lipids
"Fatty acids, total saturated",g,0.268,
"Fatty acids, total monounsaturated",g,0.166,
"Fatty acids, total polyunsaturated",g,0.749,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
