Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:13 EST
"Nutrient data for: 20652, Pasta, whole grain, 51% whole wheat, remaining enriched semolina, cooked"
Nutrient,Unit,1Value per 100 g,"1 cup spaghetti not packed = 116.0g","1 cup spaghetti packed = 151.0g","1 cup elbows = 117.0g","1 cup farfalle = 107.0g","1 cup penne = 97.0g","1 cup shells = 105.0g","1 cup lasagne = 116.0g","1 cup rotini = 107.0g",
Proximates
"Water",g,61.49,71.33,92.85,71.94,65.79,59.65,64.56,71.33,65.79
"Energy",kcal,156,181,236,183,167,151,164,181,167
"Protein",g,5.67,6.58,8.56,6.63,6.07,5.50,5.95,6.58,6.07
"Total lipid (fat)",g,1.48,1.72,2.23,1.73,1.58,1.44,1.55,1.72,1.58
"Carbohydrate, by difference",g,30.87,35.81,46.61,36.12,33.03,29.94,32.41,35.81,33.03
"Fiber, total dietary",g,4.5,5.2,6.8,5.3,4.8,4.4,4.7,5.2,4.8
"Sugars, total",g,0.65,0.75,0.98,0.76,0.70,0.63,0.68,0.75,0.70
Minerals
"Calcium, Ca",mg,11,13,17,13,12,11,12,13,12
"Iron, Fe",mg,1.58,1.83,2.39,1.85,1.69,1.53,1.66,1.83,1.69
"Magnesium, Mg",mg,41,48,62,48,44,40,43,48,44
"Phosphorus, P",mg,97,113,146,113,104,94,102,113,104
"Potassium, K",mg,71,82,107,83,76,69,75,82,76
"Sodium, Na",mg,4,5,6,5,4,4,4,5,4
"Zinc, Zn",mg,1.02,1.18,1.54,1.19,1.09,0.99,1.07,1.18,1.09
Vitamins
"Thiamin",mg,0.197,0.229,0.297,0.230,0.211,0.191,0.207,0.229,0.211
"Riboflavin",mg,0.133,0.154,0.201,0.156,0.142,0.129,0.140,0.154,0.142
"Niacin",mg,2.657,3.082,4.012,3.109,2.843,2.577,2.790,3.082,2.843
"Vitamin B-6",mg,0.065,0.075,0.098,0.076,0.070,0.063,0.068,0.075,0.070
"Folate, DFE",µg,51,59,77,60,55,49,54,59,55
"Vitamin K (phylloquinone)",µg,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2
Lipids
Amino Acids
Other
