Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:14 EST
"Nutrient data for: 20629, Wheat flour, white (industrial), 10% protein, bleached, unenriched"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,12.01,
"Energy",kcal,366,
"Protein",g,9.71,
"Total lipid (fat)",g,1.48,
"Carbohydrate, by difference",g,76.22,
"Fiber, total dietary",g,2.4,
"Sugars, total",g,0.49,
Minerals
"Calcium, Ca",mg,20,
"Iron, Fe",mg,1.26,
"Magnesium, Mg",mg,25,
"Phosphorus, P",mg,107,
"Potassium, K",mg,149,
"Sodium, Na",mg,2,
"Zinc, Zn",mg,1.02,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.194,
"Riboflavin",mg,0.072,
"Niacin",mg,1.198,
"Vitamin B-6",mg,0.037,
"Folate, DFE",µg,31,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,0,
"Vitamin E (alpha-tocopherol)",mg,0.05,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,0.3,
Lipids
"Fatty acids, total saturated",g,0.302,
"Fatty acids, total monounsaturated",g,0.193,
"Fatty acids, total polyunsaturated",g,0.845,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
