Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:48 EST
"Nutrient data for: 03109, Babyfood, vegetables, sweet potatoes, junior"
Nutrient,Unit,1Value per 100 g,"1 cup = 224.0g","1 tbsp = 14.0g","1 oz = 28.35g","1 jar = 170.0g","1 jar Beech-Nut Stage 3 (6 oz) = 170.0g","1 jar Gerber Third Foods (6 oz) = 170.0g","1 jar Heinz Junior-3 (6 oz) = 170.0g",
Proximates
"Water",g,84.10,188.38,11.77,23.84,142.97,142.97,142.97,142.97
"Energy",kcal,60,134,8,17,102,102,102,102
"Protein",g,1.10,2.46,0.15,0.31,1.87,1.87,1.87,1.87
"Total lipid (fat)",g,0.10,0.22,0.01,0.03,0.17,0.17,0.17,0.17
"Carbohydrate, by difference",g,14.00,31.36,1.96,3.97,23.80,23.80,23.80,23.80
"Fiber, total dietary",g,1.5,3.4,0.2,0.4,2.5,2.5,2.5,2.5
"Sugars, total",g,4.24,9.50,0.59,1.20,7.21,7.21,7.21,7.21
Minerals
"Calcium, Ca",mg,16,36,2,5,27,27,27,27
"Iron, Fe",mg,0.39,0.87,0.05,0.11,0.66,0.66,0.66,0.66
"Magnesium, Mg",mg,12,27,2,3,20,20,20,20
"Phosphorus, P",mg,24,54,3,7,41,41,41,41
"Potassium, K",mg,243,544,34,69,413,413,413,413
"Sodium, Na",mg,18,40,3,5,31,31,31,31
"Zinc, Zn",mg,0.11,0.25,0.02,0.03,0.19,0.19,0.19,0.19
Vitamins
"Vitamin C, total ascorbic acid",mg,9.6,21.5,1.3,2.7,16.3,16.3,16.3,16.3
"Thiamin",mg,0.026,0.058,0.004,0.007,0.044,0.044,0.044,0.044
"Riboflavin",mg,0.034,0.076,0.005,0.010,0.058,0.058,0.058,0.058
"Niacin",mg,0.384,0.860,0.054,0.109,0.653,0.653,0.653,0.653
"Vitamin B-6",mg,0.113,0.253,0.016,0.032,0.192,0.192,0.192,0.192
"Folate, DFE",µg,10,22,1,3,17,17,17,17
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,332,744,46,94,564,564,564,564
"Vitamin A, IU",IU,6636,14865,929,1881,11281,11281,11281,11281
"Vitamin E (alpha-tocopherol)",mg,0.52,1.16,0.07,0.15,0.88,0.88,0.88,0.88
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,1.5,3.4,0.2,0.4,2.5,2.5,2.5,2.5
Lipids
"Fatty acids, total saturated",g,0.021,0.047,0.003,0.006,0.036,0.036,0.036,0.036
"Fatty acids, total monounsaturated",g,0.004,0.009,0.001,0.001,0.007,0.007,0.007,0.007
"Fatty acids, total polyunsaturated",g,0.044,0.099,0.006,0.012,0.075,0.075,0.075,0.075
"Cholesterol",mg,0,0,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0,0
