Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:44 EST
"Nutrient data for: 03023, Babyfood, finger snacks, GERBER, GRADUATES, PUFFS, apple and cinnamon"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,3.62,
"Energy",kcal,389,
"Protein",g,6.19,
"Total lipid (fat)",g,2.30,
"Carbohydrate, by difference",g,85.79,
"Fiber, total dietary",g,3.8,
"Sugars, total",g,17.84,
Minerals
"Calcium, Ca",mg,535,
"Iron, Fe",mg,24.74,
"Magnesium, Mg",mg,60,
"Phosphorus, P",mg,448,
"Potassium, K",mg,196,
"Sodium, Na",mg,13,
"Zinc, Zn",mg,17.46,
Vitamins
"Vitamin C, total ascorbic acid",mg,1.3,
"Thiamin",mg,1.563,
"Riboflavin",mg,2.267,
"Niacin",mg,28.767,
"Vitamin B-6",mg,1.800,
"Folate, DFE",µg,20,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,1,
"Vitamin A, IU",IU,13,
"Vitamin E (alpha-tocopherol)",mg,10.33,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,1.3,
Lipids
"Fatty acids, total saturated",g,0.143,
"Fatty acids, total monounsaturated",g,0.306,
"Fatty acids, total polyunsaturated",g,0.527,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
