Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:48 EST
"Nutrient data for: 03000, Clif Z bar"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,7.74,
"Energy",kcal,409,
"Protein",g,5.55,
"Total lipid (fat)",g,9.72,
"Carbohydrate, by difference",g,74.72,
"Fiber, total dietary",g,8.3,
"Sugars, total",g,30.56,
Minerals
"Calcium, Ca",mg,444,
"Iron, Fe",mg,2.70,
"Magnesium, Mg",mg,82,
"Phosphorus, P",mg,244,
"Potassium, K",mg,333,
"Sodium, Na",mg,375,
"Zinc, Zn",mg,1.15,
Vitamins
"Vitamin C, total ascorbic acid",mg,39.1,
"Thiamin",mg,0.411,
"Riboflavin",mg,0.100,
"Niacin",mg,0.478,
"Vitamin B-6",mg,0.073,
"Folate, DFE",µg,31,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,0,
"Vitamin A, IU",IU,7,
"Vitamin E (alpha-tocopherol)",mg,0.98,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,8.7,
Lipids
"Fatty acids, total saturated",g,2.721,
"Fatty acids, total monounsaturated",g,2.447,
"Fatty acids, total polyunsaturated",g,3.319,
"Fatty acids, total trans",g,0.013,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,1,
