Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:45 EST
"Nutrient data for: 03025, Babyfood, GERBER, 3rd Foods, apple, mango and kiwi"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,86.34,
"Energy",kcal,53,
"Protein",g,0.47,
"Total lipid (fat)",g,0.00,
"Carbohydrate, by difference",g,12.88,
"Fiber, total dietary",g,2.0,
"Sugars, total",g,10.18,
Minerals
"Calcium, Ca",mg,9,
"Iron, Fe",mg,0.17,
"Magnesium, Mg",mg,6,
"Phosphorus, P",mg,11,
"Potassium, K",mg,123,
"Sodium, Na",mg,2,
"Zinc, Zn",mg,0.06,
Vitamins
"Vitamin C, total ascorbic acid",mg,23.3,
"Thiamin",mg,0.018,
"Riboflavin",mg,0.018,
"Niacin",mg,0.250,
"Vitamin B-6",mg,0.059,
"Folate, DFE",µg,14,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,15,
"Vitamin A, IU",IU,294,
"Vitamin E (alpha-tocopherol)",mg,0.41,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,5.9,
Lipids
"Fatty acids, total saturated",g,0.000,
"Fatty acids, total monounsaturated",g,0.000,
"Fatty acids, total polyunsaturated",g,0.000,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
