Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:44 EST
"Nutrient data for: 03116, Babyfood, fruit, applesauce, strained"
Nutrient,Unit,1Value per 100 g,"1 tbsp = 16.0g","1 oz = 28.35g","1 jar = 113.0g","1 jar Beech-Nut Baby's First (2.5 oz) = 71.0g","1 jar Beech-Nut Stage I (4 oz) = 113.0g","1 jar Gerber First Foods (2.5 oz) = 71.0g","1 jar Earth's Best (4.5 oz) = 128.0g","1 jar Gerber Second Food (4 oz) = 113.0g","1 jar Heinz Strained-2 (4 oz) = 113.0g","1 jar Heinz Beginner-1 (2.5 oz) = 71.0g",
Proximates
"Water",g,88.60,14.18,25.12,100.12,62.91,100.12,62.91,113.41,100.12,100.12,62.91
"Energy",kcal,41,7,12,46,29,46,29,52,46,46,29
"Protein",g,0.20,0.03,0.06,0.23,0.14,0.23,0.14,0.26,0.23,0.23,0.14
"Total lipid (fat)",g,0.20,0.03,0.06,0.23,0.14,0.23,0.14,0.26,0.23,0.23,0.14
"Carbohydrate, by difference",g,10.80,1.73,3.06,12.20,7.67,12.20,7.67,13.82,12.20,12.20,7.67
"Fiber, total dietary",g,1.7,0.3,0.5,1.9,1.2,1.9,1.2,2.2,1.9,1.9,1.2
"Sugars, total",g,9.87,1.58,2.80,11.15,7.01,11.15,7.01,12.63,11.15,11.15,7.01
Minerals
"Calcium, Ca",mg,4,1,1,5,3,5,3,5,5,5,3
"Iron, Fe",mg,0.22,0.04,0.06,0.25,0.16,0.25,0.16,0.28,0.25,0.25,0.16
"Magnesium, Mg",mg,3,0,1,3,2,3,2,4,3,3,2
"Phosphorus, P",mg,7,1,2,8,5,8,5,9,8,8,5
"Potassium, K",mg,71,11,20,80,50,80,50,91,80,80,50
"Sodium, Na",mg,0,0,0,0,0,0,0,0,0,0,0
"Zinc, Zn",mg,0.02,0.00,0.01,0.02,0.01,0.02,0.01,0.03,0.02,0.02,0.01
Vitamins
"Vitamin C, total ascorbic acid",mg,38.3,6.1,10.9,43.3,27.2,43.3,27.2,49.0,43.3,43.3,27.2
"Thiamin",mg,0.012,0.002,0.003,0.014,0.009,0.014,0.009,0.015,0.014,0.014,0.009
"Riboflavin",mg,0.028,0.004,0.008,0.032,0.020,0.032,0.020,0.036,0.032,0.032,0.020
"Niacin",mg,0.061,0.010,0.017,0.069,0.043,0.069,0.043,0.078,0.069,0.069,0.043
"Vitamin B-6",mg,0.031,0.005,0.009,0.035,0.022,0.035,0.022,0.040,0.035,0.035,0.022
"Folate, DFE",µg,2,0,1,2,1,2,1,3,2,2,1
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,1,0,0,1,1,1,1,1,1,1,1
"Vitamin A, IU",IU,28,4,8,32,20,32,20,36,32,32,20
"Vitamin E (alpha-tocopherol)",mg,0.60,0.10,0.17,0.68,0.43,0.68,0.43,0.77,0.68,0.68,0.43
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,0.5,0.1,0.1,0.6,0.4,0.6,0.4,0.6,0.6,0.6,0.4
Lipids
"Fatty acids, total saturated",g,0.032,0.005,0.009,0.036,0.023,0.036,0.023,0.041,0.036,0.036,0.023
"Fatty acids, total monounsaturated",g,0.008,0.001,0.002,0.009,0.006,0.009,0.006,0.010,0.009,0.009,0.006
"Fatty acids, total polyunsaturated",g,0.056,0.009,0.016,0.063,0.040,0.063,0.040,0.072,0.063,0.063,0.040
"Cholesterol",mg,0,0,0,0,0,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0,0,0,0,0
