Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:44 EST
"Nutrient data for: 03073, Babyfood, dinner, vegetables chicken, strained"
Nutrient,Unit,1Value per 100 g,"1 cup = 256.0g","1 tbsp = 16.0g","1 oz = 28.35g","1 jar = 113.0g","1 jar Gerber Second Food (4 oz) = 113.0g","1 jar Beech-Nut Stage 2 (4 oz) = 113.0g","1 jar Heinz Strained-2 (4 oz) = 113.0g",
Proximates
"Water",g,86.90,222.46,13.90,24.64,98.20,98.20,98.20,98.20
"Energy",kcal,59,151,9,17,67,67,67,67
"Protein",g,2.47,6.32,0.40,0.70,2.79,2.79,2.79,2.79
"Total lipid (fat)",g,1.73,4.43,0.28,0.49,1.95,1.95,1.95,1.95
"Carbohydrate, by difference",g,8.42,21.56,1.35,2.39,9.51,9.51,9.51,9.51
"Fiber, total dietary",g,2.1,5.4,0.3,0.6,2.4,2.4,2.4,2.4
"Sugars, total",g,1.58,4.04,0.25,0.45,1.79,1.79,1.79,1.79
Minerals
"Calcium, Ca",mg,27,69,4,8,31,31,31,31
"Iron, Fe",mg,0.53,1.36,0.08,0.15,0.60,0.60,0.60,0.60
"Magnesium, Mg",mg,14,36,2,4,16,16,16,16
"Phosphorus, P",mg,47,120,8,13,53,53,53,53
"Potassium, K",mg,158,404,25,45,179,179,179,179
"Sodium, Na",mg,24,61,4,7,27,27,27,27
"Zinc, Zn",mg,0.48,1.23,0.08,0.14,0.54,0.54,0.54,0.54
Vitamins
"Vitamin C, total ascorbic acid",mg,0.1,0.3,0.0,0.0,0.1,0.1,0.1,0.1
"Thiamin",mg,0.032,0.082,0.005,0.009,0.036,0.036,0.036,0.036
"Riboflavin",mg,0.052,0.133,0.008,0.015,0.059,0.059,0.059,0.059
"Niacin",mg,0.720,1.843,0.115,0.204,0.814,0.814,0.814,0.814
"Vitamin B-6",mg,0.072,0.184,0.012,0.020,0.081,0.081,0.081,0.081
"Folate, DFE",µg,5,13,1,1,6,6,6,6
"Vitamin B-12",µg,0.01,0.03,0.00,0.00,0.01,0.01,0.01,0.01
"Vitamin A, RAE",µg,207,530,33,59,234,234,234,234
"Vitamin A, IU",IU,4132,10578,661,1171,4669,4669,4669,4669
"Vitamin E (alpha-tocopherol)",mg,0.32,0.82,0.05,0.09,0.36,0.36,0.36,0.36
"Vitamin D (D2 + D3)",µg,0.1,0.3,0.0,0.0,0.1,0.1,0.1,0.1
"Vitamin D",IU,3,8,0,1,3,3,3,3
"Vitamin K (phylloquinone)",µg,3.4,8.7,0.5,1.0,3.8,3.8,3.8,3.8
Lipids
"Fatty acids, total saturated",g,0.496,1.270,0.079,0.141,0.560,0.560,0.560,0.560
"Fatty acids, total monounsaturated",g,0.712,1.823,0.114,0.202,0.805,0.805,0.805,0.805
"Fatty acids, total polyunsaturated",g,0.374,0.957,0.060,0.106,0.423,0.423,0.423,0.423
"Cholesterol",mg,11,28,2,3,12,12,12,12
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0,0
Footnotes
(a)"Vitamin A values range widely due to differences in cultivar and proportion of carrots."
(b)"Vitamin A values range widely due to differences in cultivar and proportion of carrots."
