Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 21:40 EST
"Nutrient data for: 23573, Beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,55.99,
"Energy",kcal,270,
"Protein",g,25.75,
"Total lipid (fat)",g,17.78,
"Carbohydrate, by difference",g,0.00,
"Fiber, total dietary",g,0.0,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,24,
"Iron, Fe",mg,2.48,
"Magnesium, Mg",mg,20,
"Phosphorus, P",mg,194,
"Potassium, K",mg,304,
"Sodium, Na",mg,75,
"Zinc, Zn",mg,6.25,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.047,
"Riboflavin",mg,0.176,
"Niacin",mg,5.098,
"Vitamin B-6",mg,0.366,
"Folate, DFE",µg,10,
"Vitamin B-12",µg,2.73,
"Vitamin A, RAE",µg,3,
"Vitamin A, IU",IU,9,
"Vitamin E (alpha-tocopherol)",mg,0.12,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,2,
"Vitamin K (phylloquinone)",µg,1.6,
Lipids
"Fatty acids, total saturated",g,6.764,
"Fatty acids, total monounsaturated",g,7.895,
"Fatty acids, total polyunsaturated",g,0.517,
"Fatty acids, total trans",g,0.771,
"Cholesterol",mg,88,
Amino Acids
Other
"Caffeine",mg,0,
