Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:53 EST
"Nutrient data for: 19435, Snacks, granola bar, fruit-filled, nonfat"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,13.70,
"Energy",kcal,342,
"Protein",g,5.90,
"Total lipid (fat)",g,0.90,
"Carbohydrate, by difference",g,77.60,
"Fiber, total dietary",g,7.4,
"Sugars, total",g,45.24,
Minerals
"Calcium, Ca",mg,3,
"Iron, Fe",mg,4.00,
"Magnesium, Mg",mg,50,
"Phosphorus, P",mg,122,
"Potassium, K",mg,220,
"Sodium, Na",mg,16,
"Zinc, Zn",mg,1.42,
Vitamins
"Vitamin C, total ascorbic acid",mg,1.7,
"Thiamin",mg,0.030,
"Riboflavin",mg,0.070,
"Niacin",mg,0.400,
"Vitamin B-6",mg,1.590,
"Folate, DFE",µg,527,
"Vitamin B-12",µg,0.18,
"Vitamin A, RAE",µg,1,
"Vitamin A, IU",IU,28,
"Vitamin E (alpha-tocopherol)",mg,0.22,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,1.3,
Lipids
"Fatty acids, total saturated",g,0.200,
"Fatty acids, total monounsaturated",g,0.240,
"Fatty acids, total polyunsaturated",g,0.350,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
