Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:52 EST
"Nutrient data for: 25067, Formulated Bar, SOUTH BEACH protein bar"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,12.16,
"Energy",kcal,412,
"Protein",g,30.34,
"Total lipid (fat)",g,15.17,
"Carbohydrate, by difference",g,38.40,
"Fiber, total dietary",g,7.3,
"Sugars, total",g,15.17,
Minerals
"Calcium, Ca",mg,322,
"Iron, Fe",mg,5.40,
"Magnesium, Mg",mg,71,
"Phosphorus, P",mg,445,
"Potassium, K",mg,793,
"Sodium, Na",mg,436,
"Zinc, Zn",mg,2.39,
Vitamins
"Vitamin C, total ascorbic acid",mg,27.9,
"Thiamin",mg,0.176,
"Riboflavin",mg,0.437,
"Niacin",mg,1.268,
"Vitamin B-6",mg,0.226,
"Folate, DFE",µg,184,
"Vitamin B-12",µg,0.61,
"Vitamin A, RAE",µg,391,
"Vitamin A, IU",IU,6720,
"Vitamin E (alpha-tocopherol)",mg,4.61,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,350.6,
Lipids
"Fatty acids, total saturated",g,3.384,
"Fatty acids, total monounsaturated",g,4.290,
"Fatty acids, total polyunsaturated",g,5.326,
"Fatty acids, total trans",g,0.091,
"Cholesterol",mg,3,
Amino Acids
Other
"Caffeine",mg,2,
