Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:40 EST
"Nutrient data for: 19232, Flan, caramel custard, dry mix, prepared with whole milk"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,74.63,
"Energy",kcal,113,
"Protein",g,2.95,
"Total lipid (fat)",g,3.00,
"Carbohydrate, by difference",g,18.68,
"Fiber, total dietary",g,0.0,
Minerals
"Calcium, Ca",mg,111,
"Iron, Fe",mg,0.06,
"Magnesium, Mg",mg,12,
"Phosphorus, P",mg,84,
"Potassium, K",mg,160,
"Sodium, Na",mg,112,
"Zinc, Zn",mg,0.35,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.7,
"Thiamin",mg,0.031,
"Riboflavin",mg,0.145,
"Niacin",mg,0.075,
"Vitamin B-6",mg,0.034,
"Folate, DFE",µg,4,
"Vitamin B-12",µg,0.26,
"Vitamin A, RAE",µg,29,
"Vitamin A, IU",IU,113,
"Vitamin D (D2 + D3)",µg,0.9,
"Vitamin D",IU,36,
Lipids
"Fatty acids, total saturated",g,1.800,
"Fatty acids, total monounsaturated",g,0.821,
"Fatty acids, total polyunsaturated",g,0.111,
"Cholesterol",mg,12,
Amino Acids
Other
"Caffeine",mg,0,
