Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 14:41 EST
"Nutrient data for: 43269, Frozen novelties, ice cream type, sundae, prepackaged"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,59.30,
"Energy",kcal,185,
"Protein",g,4.30,
"Total lipid (fat)",g,6.00,
"Carbohydrate, by difference",g,29.40,
"Fiber, total dietary",g,0.3,
"Sugars, total",g,20.74,
Minerals
"Calcium, Ca",mg,120,
"Iron, Fe",mg,0.25,
"Magnesium, Mg",mg,19,
"Phosphorus, P",mg,131,
"Potassium, K",mg,211,
"Sodium, Na",mg,95,
"Zinc, Zn",mg,0.54,
Vitamins
"Vitamin C, total ascorbic acid",mg,1.8,
"Thiamin",mg,0.040,
"Riboflavin",mg,0.190,
"Niacin",mg,0.640,
"Vitamin B-6",mg,0.050,
"Folate, DFE",µg,5,
"Vitamin B-12",µg,0.39,
"Vitamin A, RAE",µg,131,
"Vitamin A, IU",IU,458,
"Vitamin E (alpha-tocopherol)",mg,0.12,
"Vitamin D (D2 + D3)",µg,0.1,
"Vitamin D",IU,4,
"Vitamin K (phylloquinone)",µg,0.3,
Lipids
"Fatty acids, total saturated",g,3.090,
"Fatty acids, total monounsaturated",g,1.872,
"Fatty acids, total polyunsaturated",g,0.663,
"Cholesterol",mg,13,
Amino Acids
Other
"Caffeine",mg,0,
