Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:23 EST
"Nutrient data for: 11238, Mushrooms, shiitake, raw"
Nutrient,Unit,1Value per 100 g,"1 piece whole = 19.0g",
Proximates
"Water",g,89.74,17.05
"Energy",kcal,34,6
"Protein",g,2.24,0.43
"Total lipid (fat)",g,0.49,0.09
"Carbohydrate, by difference",g,6.79,1.29
"Fiber, total dietary",g,2.5,0.5
"Sugars, total",g,2.38,0.45
Minerals
"Calcium, Ca",mg,2,0
"Iron, Fe",mg,0.41,0.08
"Magnesium, Mg",mg,20,4
"Phosphorus, P",mg,112,21
"Potassium, K",mg,304,58
"Sodium, Na",mg,9,2
"Zinc, Zn",mg,1.03,0.20
Vitamins
"Thiamin",mg,0.015,0.003
"Riboflavin",mg,0.217,0.041
"Niacin",mg,3.877,0.737
"Vitamin B-6",mg,0.293,0.056
"Folate, DFE",µg,13,2
"Vitamin D (D2 + D3)",µg,0.4,0.1
"Vitamin D",IU,18,3
Lipids
"Fatty acids, total trans",g,0.000,0.000
Amino Acids
Other
Footnotes
(b)"Value based on the analysis of 5-methyltetrahydrofolate, 10-Formyl folic acid, and 5-Formyltetrahydrofolic acid"
(a)"Ergosterol = 85 mg/100 g."
(b)"Value based on the analysis of 5-methyltetrahydrofolate, 10-Formyl folic acid, and 5-Formyltetrahydrofolic acid"
(b)"Value based on the analysis of 5-methyltetrahydrofolate, 10-Formyl folic acid, and 5-Formyltetrahydrofolic acid"
