Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:24 EST
"Nutrient data for: 11291, Onions, spring or scallions (includes tops and bulb), raw"
Nutrient,Unit,1Value per 100 g,"1 cup, chopped = 100.0g","1 tbsp chopped = 6.0g","1 large = 25.0g","1 medium (4-1/8"" long) = 15.0g","1 small (3"" long) = 5.0g",
Proximates
"Water",g,89.83,89.83,5.39,22.46,13.47,4.49
"Energy",kcal,32,32,2,8,5,2
"Protein",g,1.83,1.83,0.11,0.46,0.27,0.09
"Total lipid (fat)",g,0.19,0.19,0.01,0.05,0.03,0.01
"Carbohydrate, by difference",g,7.34,7.34,0.44,1.83,1.10,0.37
"Fiber, total dietary",g,2.6,2.6,0.2,0.7,0.4,0.1
"Sugars, total",g,2.33,2.33,0.14,0.58,0.35,0.12
Minerals
"Calcium, Ca",mg,72,72,4,18,11,4
"Iron, Fe",mg,1.48,1.48,0.09,0.37,0.22,0.07
"Magnesium, Mg",mg,20,20,1,5,3,1
"Phosphorus, P",mg,37,37,2,9,6,2
"Potassium, K",mg,276,276,17,69,41,14
"Sodium, Na",mg,16,16,1,4,2,1
"Zinc, Zn",mg,0.39,0.39,0.02,0.10,0.06,0.02
Vitamins
"Vitamin C, total ascorbic acid",mg,18.8,18.8,1.1,4.7,2.8,0.9
"Thiamin",mg,0.055,0.055,0.003,0.014,0.008,0.003
"Riboflavin",mg,0.080,0.080,0.005,0.020,0.012,0.004
"Niacin",mg,0.525,0.525,0.032,0.131,0.079,0.026
"Vitamin B-6",mg,0.061,0.061,0.004,0.015,0.009,0.003
"Folate, DFE",µg,64,64,4,16,10,3
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,50,50,3,12,8,2
"Vitamin A, IU",IU,997,997,60,249,150,50
"Vitamin E (alpha-tocopherol)",mg,0.55,0.55,0.03,0.14,0.08,0.03
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,207.0,207.0,12.4,51.8,31.1,10.3
Lipids
"Fatty acids, total saturated",g,0.032,0.032,0.002,0.008,0.005,0.002
"Fatty acids, total monounsaturated",g,0.027,0.027,0.002,0.007,0.004,0.001
"Fatty acids, total polyunsaturated",g,0.074,0.074,0.004,0.018,0.011,0.004
"Fatty acids, total trans",g,0.000,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0
