Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:21 EST
"Nutrient data for: 11617, Dock, cooked, boiled, drained, without salt"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,93.60,
"Energy",kcal,20,
"Protein",g,1.83,
"Total lipid (fat)",g,0.64,
"Carbohydrate, by difference",g,2.93,
"Fiber, total dietary",g,2.6,
Minerals
"Calcium, Ca",mg,38,
"Iron, Fe",mg,2.08,
"Magnesium, Mg",mg,89,
"Phosphorus, P",mg,52,
"Potassium, K",mg,321,
"Sodium, Na",mg,3,
"Zinc, Zn",mg,0.17,
Vitamins
"Vitamin C, total ascorbic acid",mg,26.3,
"Thiamin",mg,0.034,
"Riboflavin",mg,0.086,
"Niacin",mg,0.411,
"Vitamin B-6",mg,0.100,
"Folate, DFE",µg,8,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,174,
"Vitamin A, IU",IU,3474,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
Lipids
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,0,
Amino Acids
Other
