Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:19 EST
"Nutrient data for: 44055, Celery flakes, dried"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,9.00,
"Energy",kcal,319,
"Protein",g,11.30,
"Total lipid (fat)",g,2.10,
"Carbohydrate, by difference",g,63.70,
"Fiber, total dietary",g,27.8,
"Sugars, total",g,35.90,
Minerals
"Calcium, Ca",mg,587,
"Iron, Fe",mg,7.83,
"Magnesium, Mg",mg,196,
"Phosphorus, P",mg,402,
"Potassium, K",mg,4388,
"Sodium, Na",mg,1435,
"Zinc, Zn",mg,2.77,
Vitamins
"Vitamin C, total ascorbic acid",mg,86.5,
"Thiamin",mg,0.440,
"Riboflavin",mg,0.500,
"Niacin",mg,4.640,
"Vitamin B-6",mg,0.460,
"Folate, DFE",µg,107,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,98,
"Vitamin A, IU",IU,1962,
"Vitamin E (alpha-tocopherol)",mg,5.55,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,584.2,
Lipids
"Fatty acids, total saturated",g,0.555,
"Fatty acids, total monounsaturated",g,0.405,
"Fatty acids, total polyunsaturated",g,1.035,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
