Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:22 EST
"Nutrient data for: 43392, Hearts of palm, raw"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,69.50,
"Energy",kcal,115,
"Protein",g,2.70,
"Total lipid (fat)",g,0.20,
"Carbohydrate, by difference",g,25.61,
"Fiber, total dietary",g,1.5,
"Sugars, total",g,17.16,
Minerals
"Calcium, Ca",mg,18,
"Iron, Fe",mg,1.69,
"Magnesium, Mg",mg,10,
"Phosphorus, P",mg,140,
"Potassium, K",mg,1806,
"Sodium, Na",mg,14,
"Zinc, Zn",mg,3.73,
Vitamins
"Vitamin C, total ascorbic acid",mg,8.0,
"Thiamin",mg,0.050,
"Riboflavin",mg,0.180,
"Niacin",mg,0.900,
"Vitamin B-6",mg,0.810,
"Folate, DFE",µg,24,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,3,
"Vitamin A, IU",IU,68,
"Vitamin E (alpha-tocopherol)",mg,0.50,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,0.0,
Lipids
"Fatty acids, total saturated",g,0.046,
"Fatty acids, total monounsaturated",g,0.005,
"Fatty acids, total polyunsaturated",g,0.089,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
