Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:22 EST
"Nutrient data for: 11244, Lambsquarters, raw"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,84.30,
"Energy",kcal,43,
"Protein",g,4.20,
"Total lipid (fat)",g,0.80,
"Carbohydrate, by difference",g,7.30,
"Fiber, total dietary",g,4.0,
Minerals
"Calcium, Ca",mg,309,
"Iron, Fe",mg,1.20,
"Magnesium, Mg",mg,34,
"Phosphorus, P",mg,72,
"Potassium, K",mg,452,
"Sodium, Na",mg,43,
"Zinc, Zn",mg,0.44,
Vitamins
"Vitamin C, total ascorbic acid",mg,80.0,
"Thiamin",mg,0.160,
"Riboflavin",mg,0.440,
"Niacin",mg,1.200,
"Vitamin B-6",mg,0.274,
"Folate, DFE",µg,30,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,580,
"Vitamin A, IU",IU,11600,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
Lipids
"Fatty acids, total saturated",g,0.059,
"Fatty acids, total monounsaturated",g,0.150,
"Fatty acids, total polyunsaturated",g,0.351,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,0,
Amino Acids
Other
