Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:26 EST
"Nutrient data for: 11338, Peppers, sweet, green, frozen, chopped, boiled, drained, without salt"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,94.70,
"Energy",kcal,18,
"Protein",g,0.95,
"Total lipid (fat)",g,0.18,
"Carbohydrate, by difference",g,3.90,
"Fiber, total dietary",g,0.9,
Minerals
"Calcium, Ca",mg,8,
"Iron, Fe",mg,0.52,
"Magnesium, Mg",mg,7,
"Phosphorus, P",mg,13,
"Potassium, K",mg,72,
"Sodium, Na",mg,4,
"Zinc, Zn",mg,0.05,
Vitamins
"Vitamin C, total ascorbic acid",mg,41.2,
"Thiamin",mg,0.051,
"Riboflavin",mg,0.031,
"Niacin",mg,1.082,
"Vitamin B-6",mg,0.108,
"Folate, DFE",µg,10,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,15,
"Vitamin A, IU",IU,290,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
Lipids
"Fatty acids, total saturated",g,0.027,
"Fatty acids, total monounsaturated",g,0.012,
"Fatty acids, total polyunsaturated",g,0.099,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,0,
Amino Acids
Other
