Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:33 EST
"Nutrient data for: 11898, Yambean (jicama), cooked, boiled, drained, with salt"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,90.07,
"Energy",kcal,36,
"Protein",g,0.72,
"Total lipid (fat)",g,0.09,
"Carbohydrate, by difference",g,8.23,
Minerals
"Calcium, Ca",mg,11,
"Iron, Fe",mg,0.57,
"Magnesium, Mg",mg,11,
"Phosphorus, P",mg,16,
"Potassium, K",mg,135,
"Sodium, Na",mg,242,
"Zinc, Zn",mg,0.15,
Vitamins
"Vitamin C, total ascorbic acid",mg,14.1,
"Thiamin",mg,0.017,
"Riboflavin",mg,0.028,
"Niacin",mg,0.190,
"Vitamin B-6",mg,0.040,
"Folate, DFE",µg,8,
"Vitamin B-12",µg,0.00,
"Vitamin A, IU",IU,19,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
Lipids
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,0,
Amino Acids
Other
