Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:59 EST
"Nutrient data for: 42200, Papad"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,3.49,
"Energy",kcal,371,
"Protein",g,25.56,
"Total lipid (fat)",g,3.25,
"Carbohydrate, by difference",g,59.87,
"Fiber, total dietary",g,18.6,
"Sugars, total",g,0.00,
Minerals
"Calcium, Ca",mg,143,
"Iron, Fe",mg,7.80,
"Magnesium, Mg",mg,271,
"Phosphorus, P",mg,385,
"Potassium, K",mg,1000,
"Sodium, Na",mg,1745,
"Zinc, Zn",mg,3.40,
Vitamins
"Vitamin C, total ascorbic acid",mg,0.0,
"Thiamin",mg,0.277,
"Riboflavin",mg,0.258,
"Niacin",mg,1.472,
"Vitamin B-6",mg,0.285,
"Folate, DFE",µg,219,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,13,
"Vitamin A, IU",IU,50,
"Vitamin E (alpha-tocopherol)",mg,0.05,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,0.4,
Lipids
"Fatty acids, total saturated",g,1.084,
"Fatty acids, total monounsaturated",g,0.532,
"Fatty acids, total polyunsaturated",g,1.148,
"Cholesterol",mg,4,
Amino Acids
Other
"Caffeine",mg,0,
