Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:24 EST
"Nutrient data for: 11293, Onions, welsh, raw"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,90.50,
"Energy",kcal,34,
"Protein",g,1.90,
"Total lipid (fat)",g,0.40,
"Carbohydrate, by difference",g,6.50,
"Fiber, total dietary",g,2.4,
"Sugars, total",g,2.18,
Minerals
"Calcium, Ca",mg,18,
"Iron, Fe",mg,1.22,
"Magnesium, Mg",mg,23,
"Phosphorus, P",mg,49,
"Potassium, K",mg,212,
"Sodium, Na",mg,17,
"Zinc, Zn",mg,0.52,
Vitamins
"Vitamin C, total ascorbic acid",mg,27.0,
"Thiamin",mg,0.050,
"Riboflavin",mg,0.090,
"Niacin",mg,0.400,
"Vitamin B-6",mg,0.072,
"Folate, DFE",µg,16,
"Vitamin B-12",µg,0.00,
"Vitamin A, IU",IU,1160,
"Vitamin E (alpha-tocopherol)",mg,0.51,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,193.4,
Lipids
"Fatty acids, total saturated",g,0.067,
"Fatty acids, total monounsaturated",g,0.056,
"Fatty acids, total polyunsaturated",g,0.156,
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
