Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:22 EST
"Nutrient data for: 11250, Lettuce, butterhead (includes boston and bibb types), raw"
Nutrient,Unit,1Value per 100 g,"1 cup, shredded or chopped = 55.0g","1 head (5"" dia) = 163.0g","1 leaf, large = 15.0g","1 leaf, medium = 7.5g","1 leaf = 5.0g",
Proximates
"Water",g,95.63,52.60,155.88,14.34,7.17,4.78
"Energy",kcal,13,7,21,2,1,1
"Protein",g,1.35,0.74,2.20,0.20,0.10,0.07
"Total lipid (fat)",g,0.22,0.12,0.36,0.03,0.02,0.01
"Carbohydrate, by difference",g,2.23,1.23,3.63,0.33,0.17,0.11
"Fiber, total dietary",g,1.1,0.6,1.8,0.2,0.1,0.1
"Sugars, total",g,0.94,0.52,1.53,0.14,0.07,0.05
Minerals
"Calcium, Ca",mg,35,19,57,5,3,2
"Iron, Fe",mg,1.24,0.68,2.02,0.19,0.09,0.06
"Magnesium, Mg",mg,13,7,21,2,1,1
"Phosphorus, P",mg,33,18,54,5,2,2
"Potassium, K",mg,238,131,388,36,18,12
"Sodium, Na",mg,5,3,8,1,0,0
"Zinc, Zn",mg,0.20,0.11,0.33,0.03,0.01,0.01
Vitamins
"Vitamin C, total ascorbic acid",mg,3.7,2.0,6.0,0.6,0.3,0.2
"Thiamin",mg,0.057,0.031,0.093,0.009,0.004,0.003
"Riboflavin",mg,0.062,0.034,0.101,0.009,0.005,0.003
"Niacin",mg,0.357,0.196,0.582,0.054,0.027,0.018
"Vitamin B-6",mg,0.082,0.045,0.134,0.012,0.006,0.004
"Folate, DFE",µg,73,40,119,11,5,4
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,166,91,271,25,12,8
"Vitamin A, IU",IU,3312,1822,5399,497,248,166
"Vitamin E (alpha-tocopherol)",mg,0.18,0.10,0.29,0.03,0.01,0.01
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,102.3,56.3,166.7,15.3,7.7,5.1
Lipids
"Fatty acids, total saturated",g,0.029,0.016,0.047,0.004,0.002,0.001
"Fatty acids, total monounsaturated",g,0.008,0.004,0.013,0.001,0.001,0.000
"Fatty acids, total polyunsaturated",g,0.117,0.064,0.191,0.018,0.009,0.006
"Fatty acids, total trans",g,0.000,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0
