Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:21 EST
"Nutrient data for: 11996, Fiddlehead ferns, frozen, unprepared"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,88.91,
"Energy",kcal,34,
"Protein",g,4.31,
"Total lipid (fat)",g,0.35,
"Carbohydrate, by difference",g,5.74,
Minerals
"Calcium, Ca",mg,24,
"Iron, Fe",mg,0.73,
"Magnesium, Mg",mg,19,
"Phosphorus, P",mg,58,
"Potassium, K",mg,129,
"Sodium, Na",mg,0,
"Zinc, Zn",mg,0.71,
Vitamins
"Vitamin C, total ascorbic acid",mg,17.8,
"Thiamin",mg,0.014,
"Riboflavin",mg,0.130,
"Niacin",mg,3.260,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,168,
"Vitamin A, IU",IU,3350,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
Lipids
"Fatty acids, total trans",g,0.000,
"Cholesterol",mg,0,
Amino Acids
Other
