Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:44 EST
"Nutrient data for: 03061, Babyfood, dinner, vegetables and ham, strained"
Nutrient,Unit,1Value per 100 g,"1 cup = 256.0g","1 tbsp = 16.0g","1 oz = 28.35g","1 jar = 113.0g","1 jar Gerber Second Food (4 oz) = 113.0g","1 jar Beech-Nut Stage 2 (4 oz) = 113.0g","1 jar Heinz Strained-2 (4 oz) = 113.0g",
Proximates
"Water",g,87.47,223.92,14.00,24.80,98.84,98.84,98.84,98.84
"Energy",kcal,59,151,9,17,67,67,67,67
"Protein",g,2.19,5.61,0.35,0.62,2.47,2.47,2.47,2.47
"Total lipid (fat)",g,2.14,5.48,0.34,0.61,2.42,2.42,2.42,2.42
"Carbohydrate, by difference",g,7.80,19.97,1.25,2.21,8.81,8.81,8.81,8.81
"Fiber, total dietary",g,1.6,4.1,0.3,0.5,1.8,1.8,1.8,1.8
"Sugars, total",g,1.37,3.51,0.22,0.39,1.55,1.55,1.55,1.55
Minerals
"Calcium, Ca",mg,16,41,3,5,18,18,18,18
"Iron, Fe",mg,0.41,1.05,0.07,0.12,0.46,0.46,0.46,0.46
"Magnesium, Mg",mg,12,31,2,3,14,14,14,14
"Phosphorus, P",mg,33,84,5,9,37,37,37,37
"Potassium, K",mg,141,361,23,40,159,159,159,159
"Sodium, Na",mg,16,41,3,5,18,18,18,18
"Zinc, Zn",mg,0.32,0.82,0.05,0.09,0.36,0.36,0.36,0.36
Vitamins
"Vitamin C, total ascorbic acid",mg,1.6,4.1,0.3,0.5,1.8,1.8,1.8,1.8
"Thiamin",mg,0.035,0.090,0.006,0.010,0.040,0.040,0.040,0.040
"Riboflavin",mg,0.054,0.138,0.009,0.015,0.061,0.061,0.061,0.061
"Niacin",mg,0.676,1.731,0.108,0.192,0.764,0.764,0.764,0.764
"Vitamin B-6",mg,0.072,0.184,0.012,0.020,0.081,0.081,0.081,0.081
"Folate, DFE",µg,3,8,0,1,3,3,3,3
"Vitamin B-12",µg,0.06,0.15,0.01,0.02,0.07,0.07,0.07,0.07
"Vitamin A, RAE",µg,144,369,23,41,163,163,163,163
"Vitamin A, IU",IU,2872,7352,460,814,3245,3245,3245,3245
"Vitamin E (alpha-tocopherol)",mg,0.31,0.79,0.05,0.09,0.35,0.35,0.35,0.35
"Vitamin D (D2 + D3)",µg,0.1,0.3,0.0,0.0,0.1,0.1,0.1,0.1
"Vitamin D",IU,4,10,1,1,5,5,5,5
"Vitamin K (phylloquinone)",µg,2.7,6.9,0.4,0.8,3.1,3.1,3.1,3.1
Lipids
"Fatty acids, total saturated",g,0.764,1.956,0.122,0.217,0.863,0.863,0.863,0.863
"Fatty acids, total monounsaturated",g,0.963,2.465,0.154,0.273,1.088,1.088,1.088,1.088
"Fatty acids, total polyunsaturated",g,0.234,0.599,0.037,0.066,0.264,0.264,0.264,0.264
"Cholesterol",mg,5,13,1,1,6,6,6,6
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0,0
