Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:43 EST
"Nutrient data for: 03053, Babyfood, dinner, vegetables and beef, strained"
Nutrient,Unit,1Value per 100 g,"1 cup = 256.0g","1 tbsp = 16.0g","1 oz = 28.35g","1 jar = 113.0g","1 jar Earth's Best (4.5 oz) = 128.0g","1 jar Gerber Second Food (4 oz) = 113.0g","1 jar Beech-Nut Stage 2 (4 oz) = 113.0g","1 jar Heinz Strained-2 (4 oz) = 113.0g",
Proximates
"Water",g,84.94,217.45,13.59,24.08,95.98,108.72,95.98,95.98,95.98
"Energy",kcal,77,197,12,22,87,99,87,87,87
"Protein",g,2.21,5.66,0.35,0.63,2.50,2.83,2.50,2.50,2.50
"Total lipid (fat)",g,3.60,9.22,0.58,1.02,4.07,4.61,4.07,4.07,4.07
"Carbohydrate, by difference",g,8.84,22.63,1.41,2.51,9.99,11.32,9.99,9.99,9.99
"Fiber, total dietary",g,1.3,3.3,0.2,0.4,1.5,1.7,1.5,1.5,1.5
"Sugars, total",g,2.34,5.99,0.37,0.66,2.64,3.00,2.64,2.64,2.64
Minerals
"Calcium, Ca",mg,17,44,3,5,19,22,19,19,19
"Iron, Fe",mg,0.35,0.90,0.06,0.10,0.40,0.45,0.40,0.40,0.40
"Magnesium, Mg",mg,10,26,2,3,11,13,11,11,11
"Phosphorus, P",mg,33,84,5,9,37,42,37,37,37
"Potassium, K",mg,145,371,23,41,164,186,164,164,164
"Sodium, Na",mg,31,79,5,9,35,40,35,35,35
"Zinc, Zn",mg,0.38,0.97,0.06,0.11,0.43,0.49,0.43,0.43,0.43
Vitamins
"Vitamin C, total ascorbic acid",mg,0.2,0.5,0.0,0.1,0.2,0.3,0.2,0.2,0.2
"Thiamin",mg,0.008,0.020,0.001,0.002,0.009,0.010,0.009,0.009,0.009
"Riboflavin",mg,0.048,0.123,0.008,0.014,0.054,0.061,0.054,0.054,0.054
"Niacin",mg,0.789,2.020,0.126,0.224,0.892,1.010,0.892,0.892,0.892
"Vitamin B-6",mg,0.063,0.161,0.010,0.018,0.071,0.081,0.071,0.071,0.071
"Folate, DFE",µg,7,18,1,2,8,9,8,8,8
"Vitamin B-12",µg,0.18,0.46,0.03,0.05,0.20,0.23,0.20,0.20,0.20
"Vitamin A, RAE",µg,246,630,39,70,278,315,278,278,278
"Vitamin A, IU",IU,4926,12611,788,1397,5566,6305,5566,5566,5566
"Vitamin E (alpha-tocopherol)",mg,0.49,1.25,0.08,0.14,0.55,0.63,0.55,0.55,0.55
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,1,3,0,0,1,1,1,1,1
"Vitamin K (phylloquinone)",µg,5.2,13.3,0.8,1.5,5.9,6.7,5.9,5.9,5.9
Lipids
"Fatty acids, total saturated",g,0.870,2.227,0.139,0.247,0.983,1.114,0.983,0.983,0.983
"Fatty acids, total monounsaturated",g,0.820,2.099,0.131,0.232,0.927,1.050,0.927,0.927,0.927
"Fatty acids, total polyunsaturated",g,0.190,0.486,0.030,0.054,0.215,0.243,0.215,0.215,0.215
"Cholesterol",mg,7,18,1,2,8,9,8,8,8
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0,0,0
Footnotes
(a)"Vitamin A values range widely due to differences in cultivar and proportion of carrots."
(b)"Vitamin A values range widely due to differences in cultivar and proportion of carrots."
