Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:47 EST
"Nutrient data for: 03099, Babyfood, vegetables, carrots, strained"
Nutrient,Unit,1Value per 100 g,"1 cup = 224.0g","1 tbsp = 14.0g","1 oz = 28.35g","1 jar = 113.0g","1 jar Beech-Nut Baby's First (2.5 oz) = 71.0g","1 jar Beech-Nut Stage I (4 oz) = 113.0g","1 jar Gerber First Foods (2.5 oz) = 71.0g","1 jar Earth's Best (4.5 oz) = 128.0g","1 jar Gerber Second Food (4 oz) = 113.0g","1 jar Heinz Strained-2 (4 oz) = 113.0g","1 jar Heinz Beginner-1 (2.5 oz) = 71.0g",
Proximates
"Water",g,92.30,206.75,12.92,26.17,104.30,65.53,104.30,65.53,118.14,104.30,104.30,65.53
"Energy",kcal,26,58,4,7,29,18,29,18,33,29,29,18
"Protein",g,0.80,1.79,0.11,0.23,0.90,0.57,0.90,0.57,1.02,0.90,0.90,0.57
"Total lipid (fat)",g,0.10,0.22,0.01,0.03,0.11,0.07,0.11,0.07,0.13,0.11,0.11,0.07
"Carbohydrate, by difference",g,6.00,13.44,0.84,1.70,6.78,4.26,6.78,4.26,7.68,6.78,6.78,4.26
"Fiber, total dietary",g,1.7,3.8,0.2,0.5,1.9,1.2,1.9,1.2,2.2,1.9,1.9,1.2
"Sugars, total",g,3.64,8.15,0.51,1.03,4.11,2.58,4.11,2.58,4.66,4.11,4.11,2.58
Minerals
"Calcium, Ca",mg,22,49,3,6,25,16,25,16,28,25,25,16
"Iron, Fe",mg,0.37,0.83,0.05,0.10,0.42,0.26,0.42,0.26,0.47,0.42,0.42,0.26
"Magnesium, Mg",mg,9,20,1,3,10,6,10,6,12,10,10,6
"Phosphorus, P",mg,20,45,3,6,23,14,23,14,26,23,23,14
"Potassium, K",mg,196,439,27,56,221,139,221,139,251,221,221,139
"Sodium, Na",mg,69,155,10,20,78,49,78,49,88,78,78,49
"Zinc, Zn",mg,0.15,0.34,0.02,0.04,0.17,0.11,0.17,0.11,0.19,0.17,0.17,0.11
Vitamins
"Vitamin C, total ascorbic acid",mg,5.7,12.8,0.8,1.6,6.4,4.0,6.4,4.0,7.3,6.4,6.4,4.0
"Thiamin",mg,0.023,0.052,0.003,0.007,0.026,0.016,0.026,0.016,0.029,0.026,0.026,0.016
"Riboflavin",mg,0.040,0.090,0.006,0.011,0.045,0.028,0.045,0.028,0.051,0.045,0.045,0.028
"Niacin",mg,0.463,1.037,0.065,0.131,0.523,0.329,0.523,0.329,0.593,0.523,0.523,0.329
"Vitamin B-6",mg,0.073,0.164,0.010,0.021,0.082,0.052,0.082,0.052,0.093,0.082,0.082,0.052
"Folate, DFE",µg,15,34,2,4,17,11,17,11,19,17,17,11
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,573,1284,80,162,647,407,647,407,733,647,647,407
"Vitamin A, IU",IU,11461,25673,1605,3249,12951,8137,12951,8137,14670,12951,12951,8137
"Vitamin E (alpha-tocopherol)",mg,0.52,1.16,0.07,0.15,0.59,0.37,0.59,0.37,0.67,0.59,0.59,0.37
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,14.4,32.3,2.0,4.1,16.3,10.2,16.3,10.2,18.4,16.3,16.3,10.2
Lipids
"Fatty acids, total saturated",g,0.018,0.040,0.003,0.005,0.020,0.013,0.020,0.013,0.023,0.020,0.020,0.013
"Fatty acids, total monounsaturated",g,0.004,0.009,0.001,0.001,0.005,0.003,0.005,0.003,0.005,0.005,0.005,0.003
"Fatty acids, total polyunsaturated",g,0.047,0.105,0.007,0.013,0.053,0.033,0.053,0.033,0.060,0.053,0.053,0.033
"Cholesterol",mg,0,0,0,0,0,0,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0,0,0,0,0,0
