Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:44 EST
"Nutrient data for: 03142, Babyfood, fruit, applesauce and apricots, strained"
Nutrient,Unit,1Value per 100 g,"1 tbsp = 16.0g","1 oz = 28.35g","1 jar = 113.0g","1 jar Earth's Best (4.5 oz) = 128.0g","1 jar Gerber Second Food (4 oz) = 113.0g","1 jar Beech-Nut Stage 2 (4 oz) = 113.0g","1 jar Heinz Strained-2 (4 oz) = 113.0g",
Proximates
"Water",g,87.70,14.03,24.86,99.10,112.26,99.10,99.10,99.10
"Energy",kcal,44,7,12,50,56,50,50,50
"Protein",g,0.20,0.03,0.06,0.23,0.26,0.23,0.23,0.23
"Total lipid (fat)",g,0.20,0.03,0.06,0.23,0.26,0.23,0.23,0.23
"Carbohydrate, by difference",g,11.64,1.86,3.30,13.15,14.90,13.15,13.15,13.15
"Fiber, total dietary",g,1.8,0.3,0.5,2.0,2.3,2.0,2.0,2.0
"Sugars, total",g,9.25,1.48,2.62,10.45,11.84,10.45,10.45,10.45
Minerals
"Calcium, Ca",mg,6,1,2,7,8,7,7,7
"Iron, Fe",mg,0.25,0.04,0.07,0.28,0.32,0.28,0.28,0.28
"Magnesium, Mg",mg,4,1,1,5,5,5,5,5
"Phosphorus, P",mg,9,1,3,10,12,10,10,10
"Potassium, K",mg,120,19,34,136,154,136,136,136
"Sodium, Na",mg,0,0,0,0,0,0,0,0
"Zinc, Zn",mg,0.04,0.01,0.01,0.05,0.05,0.05,0.05,0.05
Vitamins
"Vitamin C, total ascorbic acid",mg,18.9,3.0,5.4,21.4,24.2,21.4,21.4,21.4
"Thiamin",mg,0.014,0.002,0.004,0.016,0.018,0.016,0.016,0.016
"Riboflavin",mg,0.029,0.005,0.008,0.033,0.037,0.033,0.033,0.033
"Niacin",mg,0.140,0.022,0.040,0.158,0.179,0.158,0.158,0.158
"Vitamin B-6",mg,0.030,0.005,0.009,0.034,0.038,0.034,0.034,0.034
"Folate, DFE",µg,2,0,1,2,3,2,2,2
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,17,3,5,19,22,19,19,19
"Vitamin A, IU",IU,339,54,96,383,434,383,383,383
"Vitamin E (alpha-tocopherol)",mg,0.18,0.03,0.05,0.20,0.23,0.20,0.20,0.20
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,1.0,0.2,0.3,1.1,1.3,1.1,1.1,1.1
Lipids
"Fatty acids, total saturated",g,0.024,0.004,0.007,0.027,0.031,0.027,0.027,0.027
"Fatty acids, total monounsaturated",g,0.037,0.006,0.010,0.042,0.047,0.042,0.042,0.042
"Fatty acids, total polyunsaturated",g,0.045,0.007,0.013,0.051,0.058,0.051,0.051,0.051
"Cholesterol",mg,0,0,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0,0
