Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:47 EST
"Nutrient data for: 03026, Babyfood, tropical fruit medley"
Nutrient,Unit,1Value per 100 g,
Proximates
"Water",g,87.14,
"Energy",kcal,51,
"Protein",g,0.31,
"Total lipid (fat)",g,0.14,
"Carbohydrate, by difference",g,12.22,
"Fiber, total dietary",g,1.3,
"Sugars, total",g,9.78,
Minerals
"Calcium, Ca",mg,0,
"Iron, Fe",mg,0.00,
"Magnesium, Mg",mg,5,
"Phosphorus, P",mg,11,
"Potassium, K",mg,141,
"Sodium, Na",mg,0,
"Zinc, Zn",mg,0.05,
Vitamins
"Vitamin C, total ascorbic acid",mg,15.9,
"Thiamin",mg,0.019,
"Riboflavin",mg,0.027,
"Niacin",mg,0.138,
"Vitamin B-6",mg,0.039,
"Folate, DFE",µg,2,
"Vitamin B-12",µg,0.00,
"Vitamin A, RAE",µg,4,
"Vitamin A, IU",IU,88,
"Vitamin E (alpha-tocopherol)",mg,0.10,
"Vitamin D (D2 + D3)",µg,0.0,
"Vitamin D",IU,0,
"Vitamin K (phylloquinone)",µg,0.8,
Lipids
"Fatty acids, total saturated",g,0.000,
"Fatty acids, total monounsaturated",g,0.000,
"Fatty acids, total polyunsaturated",g,0.000,
"Cholesterol",mg,0,
Amino Acids
Other
"Caffeine",mg,0,
