Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:43 EST
"Nutrient data for: 03083, Babyfood, dinner, turkey and rice, junior"
Nutrient,Unit,1Value per 100 g,"1 tbsp = 16.0g","1 oz = 28.35g","1 jar = 170.0g","1 jar Beech-Nut Stage 3 (6 oz) = 170.0g","1 jar Gerber Third Foods (6 oz) = 170.0g","1 jar Heinz Junior-3 (6 oz) = 170.0g",
Proximates
"Water",g,86.64,13.86,24.56,147.29,147.29,147.29,147.29
"Energy",kcal,56,9,16,95,95,95,95
"Protein",g,2.37,0.38,0.67,4.03,4.03,4.03,4.03
"Total lipid (fat)",g,0.92,0.15,0.26,1.56,1.56,1.56,1.56
"Carbohydrate, by difference",g,9.57,1.53,2.71,16.27,16.27,16.27,16.27
"Fiber, total dietary",g,1.0,0.2,0.3,1.7,1.7,1.7,1.7
"Sugars, total",g,1.25,0.20,0.35,2.12,2.12,2.12,2.12
Minerals
"Calcium, Ca",mg,24,4,7,41,41,41,41
"Iron, Fe",mg,0.41,0.07,0.12,0.70,0.70,0.70,0.70
"Magnesium, Mg",mg,9,1,3,15,15,15,15
"Phosphorus, P",mg,37,6,10,63,63,63,63
"Potassium, K",mg,86,14,24,146,146,146,146
"Sodium, Na",mg,23,4,7,39,39,39,39
"Zinc, Zn",mg,0.47,0.08,0.13,0.80,0.80,0.80,0.80
Vitamins
"Vitamin C, total ascorbic acid",mg,0.3,0.0,0.1,0.5,0.5,0.5,0.5
"Thiamin",mg,0.033,0.005,0.009,0.056,0.056,0.056,0.056
"Riboflavin",mg,0.044,0.007,0.012,0.075,0.075,0.075,0.075
"Niacin",mg,0.692,0.111,0.196,1.176,1.176,1.176,1.176
"Vitamin B-6",mg,0.052,0.008,0.015,0.088,0.088,0.088,0.088
"Folate, DFE",µg,8,1,2,14,14,14,14
"Vitamin B-12",µg,0.02,0.00,0.01,0.03,0.03,0.03,0.03
"Vitamin A, RAE",µg,94,15,27,160,160,160,160
"Vitamin A, IU",IU,1886,302,535,3206,3206,3206,3206
"Vitamin E (alpha-tocopherol)",mg,0.31,0.05,0.09,0.53,0.53,0.53,0.53
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,3.0,0.5,0.9,5.1,5.1,5.1,5.1
Lipids
"Fatty acids, total saturated",g,0.239,0.038,0.068,0.406,0.406,0.406,0.406
"Fatty acids, total monounsaturated",g,0.304,0.049,0.086,0.517,0.517,0.517,0.517
"Fatty acids, total polyunsaturated",g,0.233,0.037,0.066,0.396,0.396,0.396,0.396
"Cholesterol",mg,4,1,1,7,7,7,7
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0,0
Footnotes
(a)"Vitamin A values range widely due to differences in cultivar and proportion of carrots."
(b)"Vitamin A values range widely due to differences in cultivar and proportion of carrots."
