Source: USDA National Nutrient Database for Standard Reference 28 slightly revised May 2016 Software v.3.7 2017-02-01
Basic Report
Report Run at: February 11, 2017 22:42 EST
"Nutrient data for: 03236, Babyfood, dessert, fruit dessert, without ascorbic acid, junior"
Nutrient,Unit,1Value per 100 g,"1 tbsp = 15.0g","1 oz = 28.35g","1 jar = 170.0g","1 jar Gerber Third Foods (6 oz) = 170.0g","1 jar Heinz Junior-3 (6 oz) = 170.0g",
Proximates
"Water",g,82.20,12.33,23.30,139.74,139.74,139.74
"Energy",kcal,63,9,18,107,107,107
"Protein",g,0.30,0.04,0.09,0.51,0.51,0.51
"Total lipid (fat)",g,0.00,0.00,0.00,0.00,0.00,0.00
"Carbohydrate, by difference",g,17.20,2.58,4.88,29.24,29.24,29.24
"Fiber, total dietary",g,0.6,0.1,0.2,1.0,1.0,1.0
"Sugars, total",g,12.00,1.80,3.40,20.40,20.40,20.40
Minerals
"Calcium, Ca",mg,9,1,3,15,15,15
"Iron, Fe",mg,0.21,0.03,0.06,0.36,0.36,0.36
"Magnesium, Mg",mg,5,1,1,8,8,8
"Phosphorus, P",mg,8,1,2,14,14,14
"Potassium, K",mg,95,14,27,162,162,162
"Sodium, Na",mg,0,0,0,0,0,0
"Zinc, Zn",mg,0.05,0.01,0.01,0.09,0.09,0.09
Vitamins
"Vitamin C, total ascorbic acid",mg,3.0,0.5,0.9,5.1,5.1,5.1
"Thiamin",mg,0.021,0.003,0.006,0.036,0.036,0.036
"Riboflavin",mg,0.012,0.002,0.003,0.020,0.020,0.020
"Niacin",mg,0.144,0.022,0.041,0.245,0.245,0.245
"Vitamin B-6",mg,0.033,0.005,0.009,0.056,0.056,0.056
"Folate, DFE",µg,4,1,1,7,7,7
"Vitamin B-12",µg,0.00,0.00,0.00,0.00,0.00,0.00
"Vitamin A, RAE",µg,7,1,2,12,12,12
"Vitamin A, IU",IU,132,20,37,224,224,224
"Vitamin E (alpha-tocopherol)",mg,0.29,0.04,0.08,0.49,0.49,0.49
"Vitamin D (D2 + D3)",µg,0.0,0.0,0.0,0.0,0.0,0.0
"Vitamin D",IU,0,0,0,0,0,0
"Vitamin K (phylloquinone)",µg,1.5,0.2,0.4,2.5,2.5,2.5
Lipids
"Fatty acids, total saturated",g,0.000,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total monounsaturated",g,0.000,0.000,0.000,0.000,0.000,0.000
"Fatty acids, total polyunsaturated",g,0.000,0.000,0.000,0.000,0.000,0.000
"Cholesterol",mg,0,0,0,0,0,0
Amino Acids
Other
"Caffeine",mg,0,0,0,0,0,0
